"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_width_value","field_width_format"
"node","book",0,2190,2190,"und",0,"11",NULL
"node","book",0,2194,2194,"und",0,"10",NULL
"node","book",0,2195,2195,"und",0,"14",NULL
"node","book",0,2198,2198,"und",0,"9.5",NULL
"node","book",0,2201,2201,"und",0,"10.5",NULL
"node","book",0,2203,2203,"und",0,"10.5",NULL
"node","book",0,2204,2204,"und",0,"11",NULL
"node","book",0,2205,2205,"und",0,"11",NULL
"node","book",0,2207,2207,"und",0,"12",NULL
"node","book",0,2208,2208,"und",0,"20",NULL
"node","book",0,2212,2212,"und",0,"16",NULL
"node","book",0,2213,2213,"und",0,"17.5",NULL
"node","book",0,2214,2214,"und",0,"17.5",NULL
"node","book",0,2215,2215,"und",0,"17.5",NULL
"node","book",0,2217,2217,"und",0,"17.5",NULL
"node","book",0,2218,2218,"und",0,"11",NULL
"node","book",0,2219,2219,"und",0,"18",NULL
"node","book",0,2220,2220,"und",0,"12",NULL
"node","book",0,2222,2222,"und",0,"11",NULL
"node","book",0,2223,2223,"und",0,"11",NULL
"node","book",0,2224,2224,"und",0,"11",NULL
"node","book",0,2225,2225,"und",0,"11",NULL
"node","book",0,2226,2226,"und",0,"11",NULL
"node","book",0,2227,2227,"und",0,"11",NULL
"node","book",0,2228,2228,"und",0,"11",NULL
"node","book",0,2229,2229,"und",0,"11",NULL
"node","book",0,2230,2230,"und",0,"12",NULL
"node","book",0,2233,2233,"und",0,"10",NULL
"node","book",0,2235,2235,"und",0,"12",NULL
"node","book",0,2237,2237,"und",0,"9",NULL
"node","book",0,2239,2239,"und",0,"20",NULL
"node","book",0,2242,2242,"und",0,"11",NULL
"node","book",0,2245,2245,"und",0,"13",NULL
"node","book",0,2248,2248,"und",0,"11.5",NULL
"node","book",0,2251,2251,"und",0,"70",NULL
"node","book",0,2253,2253,"und",0,"10.5",NULL
"node","book",0,2256,2256,"und",0,"9",NULL
"node","book",0,2258,2258,"und",0,"9",NULL
"node","book",0,2259,2259,"und",0,"9.5",NULL
"node","book",0,2260,2260,"und",0,"9.5",NULL
"node","book",0,2261,2261,"und",0,"11",NULL
"node","book",0,2263,2263,"und",0,"16",NULL
"node","book",0,2264,2264,"und",0,"9",NULL
"node","book",0,2265,2265,"und",0,"17",NULL
"node","book",0,2266,2266,"und",0,"7",NULL
"node","book",0,2267,2267,"und",0,"17",NULL
"node","book",0,2270,2270,"und",0,"13",NULL
"node","book",0,2276,2276,"und",0,"18.5",NULL
"node","book",0,2279,2279,"und",0,"12",NULL
"node","book",0,2280,2280,"und",0,"10",NULL
"node","book",0,2281,2281,"und",0,"10",NULL
"node","book",0,2282,2282,"und",0,"16.5",NULL
"node","book",0,2283,2283,"und",0,"18.5",NULL
"node","book",0,2285,2285,"und",0,"8",NULL
"node","book",0,2286,2286,"und",0,"17",NULL
"node","book",0,2287,2287,"und",0,"10",NULL
"node","book",0,2288,2288,"und",0,"17",NULL
"node","book",0,2289,2289,"und",0,"15.5",NULL
"node","book",0,2290,2290,"und",0,"22",NULL
"node","book",0,2291,2291,"und",0,"22",NULL
"node","book",0,2294,2294,"und",0,"10",NULL
"node","book",0,2295,2295,"und",0,"12",NULL
"node","book",0,2297,2297,"und",0,"12",NULL
"node","book",0,2302,2302,"und",0,"19",NULL
"node","book",0,2303,2303,"und",0,"19",NULL
"node","book",0,2304,2304,"und",0,"17",NULL
"node","book",0,2305,2305,"und",0,"9",NULL
"node","book",0,2309,2309,"und",0,"14.5",NULL
"node","book",0,2311,2311,"und",0,"17",NULL
"node","book",0,2316,2316,"und",0,"12",NULL
"node","book",0,2317,2317,"und",0,"10",NULL
"node","book",0,2321,2321,"und",0,"11.5",NULL
"node","book",0,2323,2323,"und",0,"11.5",NULL
"node","book",0,2325,2325,"und",0,"17",NULL
"node","book",0,2326,2326,"und",0,"11",NULL
"node","book",0,2327,2327,"und",0,"11",NULL
"node","book",0,2328,2328,"und",0,"11",NULL
"node","book",0,2329,2329,"und",0,"11",NULL
"node","book",0,2330,2330,"und",0,"11",NULL
"node","book",0,2331,2331,"und",0,"11",NULL
"node","book",0,2334,2334,"und",0,"11",NULL
"node","book",0,2336,2336,"und",0,"11",NULL
"node","book",0,2337,2337,"und",0,"12",NULL
"node","book",0,2338,2338,"und",0,"11",NULL
"node","book",0,2339,2339,"und",0,"5.5",NULL
"node","book",0,2340,2340,"und",0,"7.5",NULL
"node","book",0,2341,2341,"und",0,"10.5",NULL
"node","book",0,2342,2342,"und",0,"11.5",NULL
"node","book",0,2344,2344,"und",0,"10",NULL
"node","book",0,2346,2346,"und",0,"10",NULL
"node","book",0,2353,2353,"und",0,"11",NULL
"node","book",0,2355,2355,"und",0,"13",NULL
"node","book",0,2357,2357,"und",0,"17.5",NULL
"node","book",0,2358,2358,"und",0,"16",NULL
"node","book",0,2360,2360,"und",0,"10",NULL
"node","book",0,2361,2361,"und",0,"11",NULL
"node","book",0,2362,2362,"und",0,"10",NULL
"node","book",0,2364,2364,"und",0,"11",NULL
"node","book",0,2366,2366,"und",0,"20",NULL
"node","book",0,2367,2367,"und",0,"18",NULL
"node","book",0,2368,2368,"und",0,"11",NULL
"node","book",0,2369,2369,"und",0,"10.5",NULL
"node","book",0,2370,2370,"und",0,"11",NULL
"node","book",0,2371,2371,"und",0,"18",NULL
"node","book",0,2372,2372,"und",0,"17",NULL
"node","book",0,2373,2373,"und",0,"11",NULL
"node","book",0,2375,2375,"und",0,"24",NULL
"node","book",0,2380,2380,"und",0,"11",NULL
"node","book",0,2381,2381,"und",0,"11",NULL
"node","book",0,2386,2386,"und",0,"19",NULL
"node","book",0,2387,2387,"und",0,"12",NULL
"node","book",0,2388,2388,"und",0,"12",NULL
"node","book",0,2389,2389,"und",0,"12",NULL
"node","book",0,2390,2390,"und",0,"12",NULL
"node","book",0,2391,2391,"und",0,"15.5",NULL
"node","book",0,2393,2393,"und",0,"9.5",NULL
"node","book",0,2394,2394,"und",0,"9.5",NULL
"node","book",0,2395,2395,"und",0,"9",NULL
"node","book",0,2396,2396,"und",0,"17",NULL
"node","book",0,2397,2397,"und",0,"9.5",NULL
"node","book",0,2400,2400,"und",0,"9",NULL
"node","book",0,2401,2401,"und",0,"11",NULL
"node","book",0,2402,2402,"und",0,"11",NULL
"node","book",0,2405,2405,"und",0,"14",NULL
"node","book",0,2406,2406,"und",0,"11",NULL
"node","book",0,2407,2407,"und",0,"10",NULL
"node","book",0,2408,2408,"und",0,"10.5",NULL
"node","book",0,2410,2410,"und",0,"10",NULL
"node","book",0,2413,2413,"und",0,"12",NULL
"node","book",0,2414,2414,"und",0,"13",NULL
"node","book",0,2415,2415,"und",0,"9.5",NULL
"node","book",0,2416,2416,"und",0,"9",NULL
"node","book",0,2420,2420,"und",0,"16",NULL
"node","book",0,2421,2421,"und",0,"10",NULL
"node","book",0,2423,2423,"und",0,"11",NULL
"node","book",0,2424,2424,"und",0,"10",NULL
"node","book",0,2427,2427,"und",0,"12",NULL
"node","book",0,2428,2428,"und",0,"12",NULL
"node","book",0,2430,2430,"und",0,"11.5",NULL
"node","book",0,2431,2431,"und",0,"11",NULL
"node","book",0,2432,2432,"und",0,"10.5",NULL
"node","book",0,2433,2433,"und",0,"17",NULL
"node","book",0,2434,2434,"und",0,"12.5",NULL
"node","book",0,2435,2435,"und",0,"12",NULL
"node","book",0,2436,2436,"und",0,"23",NULL
"node","book",0,2438,2438,"und",0,"13",NULL
"node","book",0,2440,2440,"und",0,"18",NULL
"node","book",0,2441,2441,"und",0,"10",NULL
"node","book",0,2443,2443,"und",0,"17",NULL
"node","book",0,2444,2444,"und",0,"19",NULL
"node","book",0,2445,2445,"und",0,"10.5",NULL
"node","book",0,2446,2446,"und",0,"16",NULL
"node","book",0,2447,2447,"und",0,"23.5",NULL
"node","book",0,2448,2448,"und",0,"15.5",NULL
"node","book",0,2451,2451,"und",0,"11",NULL
"node","book",0,2452,2452,"und",0,"10.5",NULL
"node","book",0,2458,2458,"und",0,"18.5",NULL
"node","book",0,2459,2459,"und",0,"13.5",NULL
"node","book",0,2460,2460,"und",0,"12",NULL
"node","book",0,2462,2462,"und",0,"10.5",NULL
"node","book",0,2464,2464,"und",0,"12",NULL
"node","book",0,2467,2467,"und",0,"21",NULL
"node","book",0,2468,2468,"und",0,"23",NULL
"node","book",0,2471,2471,"und",0,"10.5",NULL
"node","book",0,2473,2473,"und",0,"10",NULL
"node","book",0,2479,2479,"und",0,"19",NULL
"node","book",0,2480,2480,"und",0,"19.5",NULL
"node","book",0,2481,2481,"und",0,"13",NULL
"node","book",0,2483,2483,"und",0,"19.5",NULL
"node","book",0,2484,2484,"und",0,"10.5",NULL
"node","book",0,2485,2485,"und",0,"10",NULL
"node","book",0,2486,2486,"und",0,"10",NULL
"node","book",0,2487,2487,"und",0,"11.5",NULL
