"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_original_title_else_refer_value","field_original_title_else_refer_format"
"node","book",0,1958,1958,"und",0,"KVK","filtered_html"
"node","book",0,2049,2049,"und",0,"Übersetzung","filtered_html"
"node","book",0,2241,2241,"und",0,"DJKJLH, p.239","filtered_html"
"node","book",0,2288,2288,"und",0,"קטלוג ספריית אוניברסיטת בר-אילן","filtered_html"
