pid,"source","alias","language"
134,"taxonomy/term/133","cities/landau","und"
135,"taxonomy/term/134","cities/landsbergwarthe","und"
136,"taxonomy/term/135","cities/landshut","und"
137,"taxonomy/term/136","cities/laszczow","und"
138,"taxonomy/term/137","cities/leiden","und"
139,"taxonomy/term/138","cities/leipnik","und"
140,"taxonomy/term/139","cities/leipzig","und"
141,"taxonomy/term/140","cities/lemberg","und"
142,"taxonomy/term/141","cities/lemgo","und"
143,"taxonomy/term/142","cities/leslau","und"
144,"taxonomy/term/143","cities/lieben","und"
145,"taxonomy/term/144","cities/liegnitz","und"
146,"taxonomy/term/145","cities/lille","und"
147,"taxonomy/term/146","cities/lissa","und"
148,"taxonomy/term/147","cities/livorno","und"
149,"taxonomy/term/148","cities/london","und"
150,"taxonomy/term/149","cities/lübeck","und"
151,"taxonomy/term/150","cities/luneville","und"
152,"taxonomy/term/151","cities/lviv","und"
153,"taxonomy/term/152","cities/magdeburg","und"
154,"taxonomy/term/153","cities/mährisch-weißkirchen","und"
155,"taxonomy/term/154","cities/mainz","und"
156,"taxonomy/term/155","cities/mannheim","und"
157,"taxonomy/term/156","cities/mantua","und"
158,"taxonomy/term/157","cities/marienwerder","und"
159,"taxonomy/term/158","cities/mattersdorf","und"
160,"taxonomy/term/159","cities/medzeboz","und"
161,"taxonomy/term/160","cities/mesritsch","und"
162,"taxonomy/term/161","cities/metz","und"
163,"taxonomy/term/162","cities/mezhirov","und"
164,"taxonomy/term/163","cities/mikolajev","und"
165,"taxonomy/term/164","cities/minkowce","und"
166,"taxonomy/term/165","cities/minsk","und"
167,"taxonomy/term/166","cities/mitau","und"
168,"taxonomy/term/167","cities/mohilev","und"
169,"taxonomy/term/168","cities/münden","und"
170,"taxonomy/term/169","cities/munich","und"
171,"taxonomy/term/170","cities/naarden","und"
172,"taxonomy/term/171","cities/nachod","und"
173,"taxonomy/term/172","cities/nancy","und"
174,"taxonomy/term/173","cities/netivot","und"
175,"taxonomy/term/174","cities/neubidschow","und"
176,"taxonomy/term/175","cities/neuhaus","und"
177,"taxonomy/term/176","cities/neustrelitz","und"
178,"taxonomy/term/177","cities/neuwied","und"
179,"taxonomy/term/178","cities/neuzedlisch","und"
180,"taxonomy/term/179","cities/new-york","und"
181,"taxonomy/term/180","cities/niederehnheim","und"
182,"taxonomy/term/181","cities/niederlande","und"
183,"taxonomy/term/182","cities/nikolsburg","und"
184,"taxonomy/term/183","cities/nimwegen","und"
185,"taxonomy/term/184","cities/nowy-dwor-mazowiecki","und"
186,"taxonomy/term/185","cities/nuremberg","und"
187,"taxonomy/term/186","cities/ofen","und"
188,"taxonomy/term/187","cities/offenbach","und"
189,"taxonomy/term/188","cities/oleksinets-novy","und"
190,"taxonomy/term/189","cities/opatow","und"
191,"taxonomy/term/190","cities/padua","und"
192,"taxonomy/term/191","cities/pardubitz","und"
193,"taxonomy/term/192","cities/paris","und"
194,"taxonomy/term/193","cities/pest","und"
195,"taxonomy/term/194","cities/pfalz","und"
196,"taxonomy/term/195","cities/pinczow","und"
197,"taxonomy/term/196","cities/piotrków","und"
198,"taxonomy/term/197","cities/pirnitz","und"
199,"taxonomy/term/198","cities/polen","und"
200,"taxonomy/term/199","cities/polna","und"
201,"taxonomy/term/200","cities/porizk","und"
202,"taxonomy/term/201","cities/posen","und"
203,"taxonomy/term/202","cities/potsdam","und"
204,"taxonomy/term/203","cities/prag","und"
205,"taxonomy/term/204","cities/prague","und"
206,"taxonomy/term/205","cities/prenzlau","und"
207,"taxonomy/term/206","cities/pressburgbratislava","und"
208,"taxonomy/term/207","cities/prossnitz","und"
209,"taxonomy/term/208","cities/przedbórz","und"
210,"taxonomy/term/209","cities/ragendorf","und"
211,"taxonomy/term/210","cities/rakonitz","und"
212,"taxonomy/term/211","cities/ratibor","und"
213,"taxonomy/term/212","cities/rawa","und"
214,"taxonomy/term/213","cities/regensburg","und"
215,"taxonomy/term/214","cities/reggio","und"
216,"taxonomy/term/215","cities/reichenberg","und"
217,"taxonomy/term/216","cities/reschow","und"
218,"taxonomy/term/217","cities/riga","und"
219,"taxonomy/term/218","cities/rödelheim","und"
220,"taxonomy/term/219","cities/rom","und"
221,"taxonomy/term/220","cities/rotenburg","und"
222,"taxonomy/term/221","cities/rotterdam","und"
223,"taxonomy/term/222","cities/rszeszw","und"
224,"taxonomy/term/223","cities/samocz","und"
225,"taxonomy/term/224","cities/samuel-de-waal","und"
226,"taxonomy/term/225","cities/sandersleben","und"
227,"taxonomy/term/226","cities/satanow","und"
228,"taxonomy/term/227","cities/schklov","und"
229,"taxonomy/term/228","cities/schottland","und"
230,"taxonomy/term/229","cities/schotzlar","und"
231,"taxonomy/term/230","cities/schwedt","und"
232,"taxonomy/term/231","cities/schwerin","und"
233,"taxonomy/term/232","cities/seelau","und"
234,"taxonomy/term/233","cities/seesen","und"
235,"taxonomy/term/234","cities/senftenberg","und"
236,"taxonomy/term/235","cities/shkloŭ","und"
237,"taxonomy/term/236","cities/siegen","und"
238,"taxonomy/term/237","cities/slawkowiec","und"
239,"taxonomy/term/238","cities/slonim","und"
240,"taxonomy/term/239","cities/st-petersburg","und"
241,"taxonomy/term/240","cities/stampfen","und"
242,"taxonomy/term/241","cities/stargard","und"
243,"taxonomy/term/242","cities/stettin","und"
244,"taxonomy/term/243","cities/stockholm","und"
245,"taxonomy/term/244","cities/stralsund","und"
246,"taxonomy/term/245","cities/strasbourg","und"
247,"taxonomy/term/246","cities/strelitz","und"
248,"taxonomy/term/247","cities/stuttgart","und"
249,"taxonomy/term/248","cities/sudilkov","und"
250,"taxonomy/term/249","cities/sulzbach","und"
251,"taxonomy/term/250","cities/szereszów","und"
252,"taxonomy/term/251","cities/tachau","und"
253,"taxonomy/term/252","cities/tarnau","und"
254,"taxonomy/term/253","cities/tarnopol","und"
255,"taxonomy/term/254","cities/tel-aviv","und"
256,"taxonomy/term/255","cities/teplitz","und"
257,"taxonomy/term/256","cities/hague","und"
258,"taxonomy/term/257","cities/tismenitsa","und"
259,"taxonomy/term/258","cities/torino","und"
260,"taxonomy/term/259","cities/trebitsch","und"
261,"taxonomy/term/260","cities/triesch","und"
262,"taxonomy/term/261","cities/triest","und"
263,"taxonomy/term/262","cities/troplowitz","und"
264,"taxonomy/term/263","cities/tschaslau","und"
265,"taxonomy/term/264","cities/tschoplowitz-b-brieg","und"
266,"taxonomy/term/265","cities/tschufut-kale","und"
267,"taxonomy/term/266","cities/tübingen","und"
268,"taxonomy/term/267","cities/turiisk","und"
269,"taxonomy/term/268","cities/turin","und"
270,"taxonomy/term/269","cities/turnau","und"
271,"taxonomy/term/270","cities/tysmienica","und"
272,"taxonomy/term/271","cities/utrecht","und"
273,"taxonomy/term/272","cities/venice","und"
274,"taxonomy/term/273","cities/vienna","und"
275,"taxonomy/term/274","cities/vilnius","und"
276,"taxonomy/term/275","cities/wamburg","und"
277,"taxonomy/term/276","cities/warsaw","und"
278,"taxonomy/term/277","cities/wasiliszki","und"
279,"taxonomy/term/278","cities/weikersheim","und"
280,"taxonomy/term/279","cities/wien","und"
281,"taxonomy/term/280","cities/witkowo","und"
282,"taxonomy/term/281","cities/wohlin","und"
283,"taxonomy/term/282","cities/worms","und"
284,"taxonomy/term/283","cities/wriezen","und"
285,"taxonomy/term/284","cities/würzburg","und"
286,"taxonomy/term/285","cities/zamosc","und"
