"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_target_id
"node","mention",0,2834,2834,"und",0,15
"node","mention",0,2835,2835,"und",0,234
"node","mention",0,2836,2836,"und",0,189
"node","mention",0,2837,2837,"und",0,352
"node","mention",0,2838,2838,"und",0,455
"node","mention",0,2839,2839,"und",0,237
"node","mention",0,2840,2840,"und",0,452
"node","mention",0,2841,2841,"und",0,404
"node","mention",0,2842,2842,"und",0,273
"node","mention",0,2843,2843,"und",0,151
"node","mention",0,2844,2844,"und",0,10
"node","mention",0,2845,2845,"und",0,12
"node","mention",0,2846,2846,"und",0,13
"node","mention",0,2847,2847,"und",0,240
"node","mention",0,2848,2848,"und",0,29
"node","mention",0,2849,2849,"und",0,31
"node","mention",0,2850,2850,"und",0,279
"node","mention",0,2851,2851,"und",0,42
"node","mention",0,2852,2852,"und",0,46
"node","mention",0,2853,2853,"und",0,48
"node","mention",0,2854,2854,"und",0,47
"node","mention",0,2855,2855,"und",0,365
"node","mention",0,2856,2856,"und",0,469
"node","mention",0,2857,2857,"und",0,60
"node","mention",0,2858,2858,"und",0,63
"node","mention",0,2859,2859,"und",0,70
"node","mention",0,2860,2860,"und",0,73
"node","mention",0,2861,2861,"und",0,74
"node","mention",0,2862,2862,"und",0,124
"node","mention",0,2863,2863,"und",0,78
"node","mention",0,2864,2864,"und",0,79
"node","mention",0,2865,2865,"und",0,91
"node","mention",0,2866,2866,"und",0,92
"node","mention",0,2867,2867,"und",0,96
"node","mention",0,2868,2868,"und",0,109
"node","mention",0,2869,2869,"und",0,51
"node","mention",0,2870,2870,"und",0,8
"node","mention",0,2871,2871,"und",0,205
"node","mention",0,2872,2872,"und",0,114
"node","mention",0,2873,2873,"und",0,113
"node","mention",0,2874,2874,"und",0,120
"node","mention",0,2875,2875,"und",0,137
"node","mention",0,2876,2876,"und",0,135
"node","mention",0,2877,2877,"und",0,136
"node","mention",0,2878,2878,"und",0,139
"node","mention",0,2879,2879,"und",0,145
"node","mention",0,2880,2880,"und",0,141
"node","mention",0,2881,2881,"und",0,150
"node","mention",0,2882,2882,"und",0,143
"node","mention",0,2883,2883,"und",0,151
"node","mention",0,2884,2884,"und",0,152
"node","mention",0,2885,2885,"und",0,153
"node","mention",0,2886,2886,"und",0,138
"node","mention",0,2887,2887,"und",0,148
"node","mention",0,2888,2888,"und",0,158
"node","mention",0,2889,2889,"und",0,163
"node","mention",0,2890,2890,"und",0,162
"node","mention",0,2891,2891,"und",0,155
"node","mention",0,2892,2892,"und",0,159
"node","mention",0,2893,2893,"und",0,144
"node","mention",0,2894,2894,"und",0,146
"node","mention",0,2895,2895,"und",0,154
"node","mention",0,2896,2896,"und",0,160
"node","mention",0,2897,2897,"und",0,372
"node","mention",0,2898,2898,"und",0,366
"node","mention",0,2899,2899,"und",0,175
"node","mention",0,2900,2900,"und",0,179
"node","mention",0,2901,2901,"und",0,181
"node","mention",0,2902,2902,"und",0,182
"node","mention",0,2903,2903,"und",0,185
"node","mention",0,2904,2904,"und",0,186
"node","mention",0,2905,2905,"und",0,188
"node","mention",0,2906,2906,"und",0,190
"node","mention",0,2907,2907,"und",0,191
"node","mention",0,2908,2908,"und",0,195
"node","mention",0,2909,2909,"und",0,196
"node","mention",0,2910,2910,"und",0,308
"node","mention",0,2911,2911,"und",0,197
"node","mention",0,2912,2912,"und",0,335
"node","mention",0,2913,2913,"und",0,200
"node","mention",0,2914,2914,"und",0,202
"node","mention",0,2915,2915,"und",0,211
"node","mention",0,2916,2916,"und",0,223
"node","mention",0,2917,2917,"und",0,222
"node","mention",0,2918,2918,"und",0,220
"node","mention",0,2919,2919,"und",0,7
"node","mention",0,2920,2920,"und",0,62
"node","mention",0,2922,2922,"und",0,2921
"node","mention",0,2923,2923,"und",0,350
"node","mention",0,2924,2924,"und",0,249
"node","mention",0,2925,2925,"und",0,253
"node","mention",0,2926,2926,"und",0,271
"node","mention",0,2927,2927,"und",0,367
"node","mention",0,2928,2928,"und",0,446
"node","mention",0,2929,2929,"und",0,294
"node","mention",0,2930,2930,"und",0,295
"node","mention",0,2931,2931,"und",0,296
"node","mention",0,2932,2932,"und",0,301
"node","mention",0,2933,2933,"und",0,302
"node","mention",0,2934,2934,"und",0,304
"node","mention",0,2935,2935,"und",0,351
"node","mention",0,2936,2936,"und",0,90
"node","mention",0,2937,2937,"und",0,373
"node","mention",0,2938,2938,"und",0,242
"node","mention",0,2939,2939,"und",0,329
"node","mention",0,2940,2940,"und",0,326
