"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_role_tid
"node","production",0,5286,5286,"und",0,402
"node","production",0,5287,5287,"und",0,402
"node","production",0,5288,5288,"und",0,403
"node","production",0,5289,5289,"und",0,406
"node","production",0,5290,5290,"und",0,402
"node","production",0,5291,5291,"und",0,402
"node","production",0,5292,5292,"und",0,402
"node","production",0,5293,5293,"und",0,402
"node","production",0,5294,5294,"und",0,809
"node","production",0,5295,5295,"und",0,402
"node","production",0,5296,5296,"und",0,402
"node","production",0,5297,5297,"und",0,403
"node","production",0,5298,5298,"und",0,809
"node","production",0,5299,5299,"und",0,402
"node","production",0,5300,5300,"und",0,809
"node","production",0,5302,5302,"und",0,402
"node","production",0,5303,5303,"und",0,402
"node","production",0,5304,5304,"und",0,405
"node","production",0,5305,5305,"und",0,402
"node","production",0,5306,5306,"und",0,405
"node","production",0,5307,5307,"und",0,809
"node","production",0,5308,5308,"und",0,402
"node","production",0,5309,5309,"und",0,809
"node","production",0,5310,5310,"und",0,809
"node","production",0,5311,5311,"und",0,402
"node","production",0,5312,5312,"und",0,402
"node","production",0,5313,5313,"und",0,402
"node","production",0,5314,5314,"und",0,402
"node","production",0,5315,5315,"und",0,402
"node","production",0,5316,5316,"und",0,403
"node","production",0,5317,5317,"und",0,402
"node","production",0,5318,5318,"und",0,402
"node","production",0,5319,5319,"und",0,402
"node","production",0,5320,5320,"und",0,402
"node","production",0,5321,5321,"und",0,405
"node","production",0,5322,5322,"und",0,402
"node","production",0,5323,5323,"und",0,402
"node","production",0,5324,5324,"und",0,402
"node","production",0,5325,5325,"und",0,403
"node","production",0,5326,5326,"und",0,402
"node","production",0,5327,5327,"und",0,402
"node","production",0,5328,5328,"und",0,402
