"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_partial_publication_other_value","field_partial_publication_other_format"
"node","book",0,2107,2107,"und",0,"חלקים מן הספר הופיעו במקראות הבאות:

ישראל בן חיים (מבילגוראדו). 1823. ספר אוצר החיים: כולל ספרי חנוך לנער וגדול בנים. וינה: אנטון שמיד.

מאנדלשטאם, בנימין. 1849. אלף-בית, והוא ספר חנוך נערים: ללמד בני ישראל ספר ולשון עבר ב'. וילנה: דפוס ר' יוסף ראובן בר' מנחם מן ראם.","filtered_html"
"node","book",0,2161,2161,"und",0,"Yes","filtered_html"
"node","book",0,2194,2194,"und",0,"Yes","filtered_html"
"node","book",0,2376,2376,"und",0,"Yes","filtered_html"
