"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_epilogue_value
"node","book",0,2070,2070,"und",0,0
"node","book",0,2071,2071,"und",0,0
"node","book",0,2072,2072,"und",0,0
"node","book",0,2074,2074,"und",0,0
"node","book",0,2075,2075,"und",0,0
"node","book",0,2076,2076,"und",0,0
"node","book",0,2077,2077,"und",0,0
"node","book",0,2078,2078,"und",0,1
"node","book",0,2079,2079,"und",0,1
"node","book",0,2080,2080,"und",0,1
"node","book",0,2081,2081,"und",0,0
"node","book",0,2082,2082,"und",0,0
"node","book",0,2083,2083,"und",0,0
"node","book",0,2084,2084,"und",0,0
"node","book",0,2085,2085,"und",0,0
"node","book",0,2086,2086,"und",0,0
"node","book",0,2089,2089,"und",0,0
"node","book",0,2091,2091,"und",0,0
"node","book",0,2094,2094,"und",0,0
"node","book",0,2097,2097,"und",0,0
"node","book",0,2098,2098,"und",0,0
"node","book",0,2099,2099,"und",0,0
"node","book",0,2100,2100,"und",0,0
"node","book",0,2101,2101,"und",0,0
"node","book",0,2105,2105,"und",0,0
"node","book",0,2106,2106,"und",0,0
"node","book",0,2107,2107,"und",0,0
"node","book",0,2108,2108,"und",0,0
"node","book",0,2110,2110,"und",0,1
"node","book",0,2112,2112,"und",0,0
"node","book",0,2113,2113,"und",0,0
"node","book",0,2114,2114,"und",0,0
"node","book",0,2115,2115,"und",0,0
"node","book",0,2116,2116,"und",0,0
"node","book",0,2117,2117,"und",0,0
"node","book",0,2118,2118,"und",0,0
"node","book",0,2119,2119,"und",0,0
"node","book",0,2120,2120,"und",0,0
"node","book",0,2121,2121,"und",0,0
"node","book",0,2122,2122,"und",0,0
"node","book",0,2123,2123,"und",0,0
"node","book",0,2124,2124,"und",0,0
"node","book",0,2125,2125,"und",0,0
"node","book",0,2126,2126,"und",0,0
"node","book",0,2127,2127,"und",0,0
"node","book",0,2128,2128,"und",0,0
"node","book",0,2129,2129,"und",0,0
"node","book",0,2130,2130,"und",0,0
"node","book",0,2131,2131,"und",0,0
"node","book",0,2133,2133,"und",0,1
"node","book",0,2134,2134,"und",0,0
"node","book",0,2135,2135,"und",0,0
"node","book",0,2136,2136,"und",0,0
"node","book",0,2137,2137,"und",0,0
"node","book",0,2138,2138,"und",0,0
"node","book",0,2139,2139,"und",0,0
"node","book",0,2140,2140,"und",0,0
"node","book",0,2141,2141,"und",0,0
"node","book",0,2142,2142,"und",0,0
"node","book",0,2143,2143,"und",0,0
"node","book",0,2144,2144,"und",0,0
"node","book",0,2145,2145,"und",0,0
"node","book",0,2146,2146,"und",0,0
"node","book",0,2147,2147,"und",0,0
"node","book",0,2148,2148,"und",0,0
"node","book",0,2149,2149,"und",0,1
"node","book",0,2150,2150,"und",0,0
"node","book",0,2151,2151,"und",0,0
"node","book",0,2152,2152,"und",0,0
"node","book",0,2153,2153,"und",0,0
"node","book",0,2154,2154,"und",0,0
"node","book",0,2155,2155,"und",0,1
"node","book",0,2156,2156,"und",0,0
"node","book",0,2157,2157,"und",0,1
"node","book",0,2158,2158,"und",0,0
"node","book",0,2159,2159,"und",0,0
"node","book",0,2161,2161,"und",0,1
"node","book",0,2162,2162,"und",0,0
"node","book",0,2164,2164,"und",0,0
