"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_description_tid
"node","mention",0,2985,2985,"und",0,803
"node","mention",0,2986,2986,"und",0,803
"node","mention",0,2987,2987,"und",0,803
"node","mention",0,2988,2988,"und",0,803
"node","mention",0,2989,2989,"und",0,803
"node","mention",0,2990,2990,"und",0,803
"node","mention",0,2991,2991,"und",0,803
"node","mention",0,2992,2992,"und",0,803
"node","mention",0,2993,2993,"und",0,803
"node","mention",0,2994,2994,"und",0,799
"node","mention",0,2995,2995,"und",0,799
"node","mention",0,2996,2996,"und",0,799
"node","mention",0,2997,2997,"und",0,799
"node","mention",0,2998,2998,"und",0,802
"node","mention",0,2999,2999,"und",0,801
"node","mention",0,3000,3000,"und",0,801
"node","mention",0,3001,3001,"und",0,803
"node","mention",0,3002,3002,"und",0,803
"node","mention",0,3003,3003,"und",0,803
"node","mention",0,3004,3004,"und",0,803
"node","mention",0,3005,3005,"und",0,803
"node","mention",0,3006,3006,"und",0,803
"node","mention",0,3007,3007,"und",0,803
"node","mention",0,3008,3008,"und",0,803
"node","mention",0,3009,3009,"und",0,803
"node","mention",0,3010,3010,"und",0,803
"node","mention",0,3011,3011,"und",0,803
"node","mention",0,3012,3012,"und",0,803
"node","mention",0,3013,3013,"und",0,803
"node","mention",0,3014,3014,"und",0,803
"node","mention",0,3015,3015,"und",0,803
"node","mention",0,3016,3016,"und",0,803
"node","mention",0,3017,3017,"und",0,803
"node","mention",0,3018,3018,"und",0,803
"node","mention",0,3019,3019,"und",0,803
"node","mention",0,3020,3020,"und",0,803
"node","mention",0,3021,3021,"und",0,803
"node","mention",0,3022,3022,"und",0,803
"node","mention",0,3023,3023,"und",0,803
"node","mention",0,3024,3024,"und",0,803
"node","mention",0,3025,3025,"und",0,803
"node","mention",0,3026,3026,"und",0,803
"node","mention",0,3027,3027,"und",0,803
"node","mention",0,3028,3028,"und",0,803
"node","mention",0,3029,3029,"und",0,803
"node","mention",0,3030,3030,"und",0,803
"node","mention",0,3031,3031,"und",0,803
"node","mention",0,3032,3032,"und",0,803
"node","mention",0,3033,3033,"und",0,803
"node","mention",0,3034,3034,"und",0,803
"node","mention",0,3035,3035,"und",0,803
"node","mention",0,3036,3036,"und",0,803
"node","mention",0,3037,3037,"und",0,803
"node","mention",0,3038,3038,"und",0,803
"node","mention",0,3039,3039,"und",0,803
"node","mention",0,3040,3040,"und",0,803
"node","mention",0,3041,3041,"und",0,803
"node","mention",0,3042,3042,"und",0,803
"node","mention",0,3043,3043,"und",0,803
"node","mention",0,3044,3044,"und",0,803
"node","mention",0,3045,3045,"und",0,803
"node","mention",0,3046,3046,"und",0,803
"node","mention",0,3047,3047,"und",0,803
"node","mention",0,3048,3048,"und",0,803
"node","mention",0,3049,3049,"und",0,803
"node","mention",0,3050,3050,"und",0,803
"node","mention",0,3051,3051,"und",0,803
"node","mention",0,3052,3052,"und",0,803
"node","mention",0,3053,3053,"und",0,803
"node","mention",0,3054,3054,"und",0,803
"node","mention",0,3055,3055,"und",0,803
"node","mention",0,3056,3056,"und",0,803
"node","mention",0,3057,3057,"und",0,803
"node","mention",0,3058,3058,"und",0,803
"node","mention",0,3059,3059,"und",0,803
"node","mention",0,3060,3060,"und",0,800
"node","mention",0,3061,3061,"und",0,799
"node","mention",0,3062,3062,"und",0,799
"node","mention",0,3063,3063,"und",0,799
"node","mention",0,3064,3064,"und",0,799
"node","mention",0,3065,3065,"und",0,799
"node","mention",0,3066,3066,"und",0,802
"node","mention",0,3067,3067,"und",0,802
"node","mention",0,3068,3068,"und",0,802
"node","mention",0,3069,3069,"und",0,799
"node","mention",0,3070,3070,"und",0,802
"node","mention",0,3071,3071,"und",0,802
"node","mention",0,3072,3072,"und",0,802
"node","mention",0,3073,3073,"und",0,804
"node","mention",0,3074,3074,"und",0,804
"node","mention",0,3075,3075,"und",0,801
"node","mention",0,3076,3076,"und",0,801
"node","mention",0,3077,3077,"und",0,799
"node","mention",0,3078,3078,"und",0,799
"node","mention",0,3079,3079,"und",0,799
"node","mention",0,3080,3080,"und",0,799
"node","mention",0,3081,3081,"und",0,801
"node","mention",0,3082,3082,"und",0,805
"node","mention",0,3083,3083,"und",0,801
"node","mention",0,3084,3084,"und",0,803
"node","mention",0,3085,3085,"und",0,803
"node","mention",0,3086,3086,"und",0,803
"node","mention",0,3087,3087,"und",0,803
"node","mention",0,3088,3088,"und",0,803
"node","mention",0,3089,3089,"und",0,803
"node","mention",0,3090,3090,"und",0,803
"node","mention",0,3091,3091,"und",0,803
"node","mention",0,3092,3092,"und",0,803
"node","mention",0,3093,3093,"und",0,803
"node","mention",0,3094,3094,"und",0,803
"node","mention",0,3095,3095,"und",0,803
"node","mention",0,3096,3096,"und",0,803
"node","mention",0,3097,3097,"und",0,803
"node","mention",0,3098,3098,"und",0,803
"node","mention",0,3099,3099,"und",0,803
"node","mention",0,3100,3100,"und",0,803
"node","mention",0,3101,3101,"und",0,803
"node","mention",0,3102,3102,"und",0,803
"node","mention",0,3103,3103,"und",0,803
"node","mention",0,3104,3104,"und",0,803
"node","mention",0,3105,3105,"und",0,803
"node","mention",0,3106,3106,"und",0,803
"node","mention",0,3107,3107,"und",0,803
"node","mention",0,3108,3108,"und",0,803
"node","mention",0,3109,3109,"und",0,803
"node","mention",0,3110,3110,"und",0,803
"node","mention",0,3111,3111,"und",0,803
"node","mention",0,3112,3112,"und",0,803
"node","mention",0,3113,3113,"und",0,803
"node","mention",0,3115,3115,"und",0,803
"node","mention",0,3116,3116,"und",0,803
"node","mention",0,3117,3117,"und",0,803
"node","mention",0,3118,3118,"und",0,803
