"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_edition_references_value","field_edition_references_format"
"node","edition",0,2638,2638,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2639,2639,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2640,2640,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2641,2641,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2642,2642,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2643,2643,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2644,2644,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2645,2645,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2646,2646,"und",0,"[וינוגרד: אינו מזכיר את המהדורה המקורית משנת תקמ\"ה. רק מהדורת וינה, תקע\"ה, ומנדלסון כמתרגם.]

יודלוב, אוצר ההגדות",NULL
"node","edition",0,2647,2647,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2648,2648,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2649,2649,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2650,2650,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2651,2651,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2652,2652,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2653,2653,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2654,2654,"und",0,"קטלוג הספרייה הלאומית",NULL
"node","edition",0,2655,2655,"und",0,"קטלוג הספרייה הלאומית",NULL
"node","edition",0,2658,2658,"und",0,"וינוגרד",NULL
"node","edition",0,2662,2662,"und",0,"וינוגרד",NULL
"node","edition",0,2663,2663,"und",0,"וינוגרד",NULL
"node","edition",0,2664,2664,"und",0,"וינוגרד",NULL
"node","edition",0,2665,2665,"und",0,"וינוגרד",NULL
"node","edition",0,2666,2666,"und",0,"וינוגרד",NULL
"node","edition",0,2667,2667,"und",0,"וינוגרד",NULL
"node","edition",0,2668,2668,"und",0,"וינוגרד",NULL
"node","edition",0,2669,2669,"und",0,"וינוגרד",NULL
"node","edition",0,2670,2670,"und",0,"וינוגרד",NULL
"node","edition",0,2671,2671,"und",0,"עותק בספרייה הלאומית,עותק בספרייה הלאומית",NULL
"node","edition",0,2672,2672,"und",0,"עותק בספרייה הלאומית,עותק בספרייה הלאומית",NULL
"node","edition",0,2676,2676,"und",0,"IUL",NULL
"node","edition",0,2677,2677,"und",0,"IUL",NULL
"node","edition",0,2678,2678,"und",0,"IUL",NULL
"node","edition",0,2679,2679,"und",0,"IUL",NULL
"node","edition",0,2680,2680,"und",0,"IUL",NULL
"node","edition",0,2681,2681,"und",0,"IUL",NULL
"node","edition",0,2682,2682,"und",0,"IUL",NULL
"node","edition",0,2683,2683,"und",0,"IUL",NULL
"node","edition",0,2684,2684,"und",0,"וינוגרד",NULL
"node","edition",0,2685,2685,"und",0,"IUL",NULL
"node","edition",0,2686,2686,"und",0,"IUL",NULL
"node","edition",0,2687,2687,"und",0,"וינוגרד",NULL
"node","edition",0,2688,2688,"und",0,"IUL",NULL
"node","edition",0,2689,2689,"und",0,"וינוגרד",NULL
"node","edition",0,2690,2690,"und",0,"וינוגרד",NULL
"node","edition",0,2691,2691,"und",0,"וינוגרד",NULL
"node","edition",0,2692,2692,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2693,2693,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2694,2694,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2695,2695,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2696,2696,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2697,2697,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2698,2698,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2699,2699,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2700,2700,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2701,2701,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2702,2702,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2703,2703,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2704,2704,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2705,2705,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2706,2706,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2707,2707,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2708,2708,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2709,2709,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2710,2710,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2711,2711,"und",0,"וינוגרד; מהדורות בבר-אילן",NULL
"node","edition",0,2712,2712,"und",0,"וינוגרד",NULL
