"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_contacts_official_agents_value","field_contacts_official_agents_format"
"node","book",0,1971,1971,"und",0,"K.K. Studien-Hof-Kommission, siehe Dekret im Buch.","filtered_html"
"node","book",0,2126,2126,"und",0,"מגעים עם קהילת טרייסט, בעניין המכתב הראשון מ<ins>דברי שלום ואמת</ins>.","filtered_html"
