"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_link_to_digital_book_url","field_link_to_digital_book_title","field_link_to_digital_book_attributes"
"node","book",0,2198,2198,"und",0,"http://sammlungen.ub.uni-frankfurt.de/judaicaffm/content/pageview/4690821",NULL,"a:0:{}"
"node","book",0,2209,2209,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/1072257",NULL,"a:0:{}"
"node","book",0,2210,2210,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/1073081",NULL,"a:0:{}"
"node","book",0,2213,2213,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2214,2214,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2215,2215,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2224,2224,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1714824",NULL,"a:0:{}"
"node","book",0,2226,2226,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1715067",NULL,"a:0:{}"
"node","book",0,2261,2261,"und",0,"http://www.hebrewbooks.org/44611",NULL,"a:0:{}"
"node","book",0,2267,2267,"und",0,"http://www.hebrewbooks.org/24780",NULL,"a:0:{}"
"node","book",0,2300,2300,"und",0,"http://www.hebrewbooks.org/5814",NULL,"a:0:{}"
"node","book",0,2303,2303,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/urn/urn:nbn:de:hebis:30:2-1490",NULL,"a:0:{}"
"node","book",0,2356,2356,"und",0,"http://www.hebrewbooks.org/7310",NULL,"a:0:{}"
"node","book",0,2364,2364,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1737888",NULL,"a:0:{}"
"node","book",0,2367,2367,"und",0,"http://www.hebrewbooks.org/21528",NULL,"a:0:{}"
"node","book",0,2369,2369,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10240808.html",NULL,"a:0:{}"
"node","book",0,2378,2378,"und",0,"http://www.hebrewbooks.org/7310",NULL,"a:0:{}"
"node","book",0,2384,2384,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1735452",NULL,"a:0:{}"
"node","book",0,2436,2436,"und",0,"http://digital.slub-dresden.de/werkansicht/dlf/58056/1/cache.off",NULL,"a:0:{}"
"node","book",0,2464,2464,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180012002002",NULL,"a:0:{}"
"node","book",0,2469,2469,"und",0,"http://gdz.sub.uni-goettingen.de/dms/load/img/?PPN=PPN659119145&IDDOC=753523",NULL,"a:0:{}"
"node","book",0,2470,2470,"und",0,"http://www.hebrewbooks.org/35793",NULL,"a:0:{}"
"node","book",0,2472,2472,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1735312",NULL,"a:0:{}"
"node","book",0,2474,2474,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1720884",NULL,"a:0:{}"
"node","book",0,2475,2475,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1721028",NULL,"a:0:{}"
"node","book",0,2476,2476,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1721126",NULL,"a:0:{}"
