"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_geolocation_lat,field_geolocation_lng,field_geolocation_lat_sin,field_geolocation_lat_cos,field_geolocation_lng_rad
"taxonomy_term","cities",0,192,192,"und",0,48.8534,2.3486,0.75302848443074,0.65798791906534,0.040990802812339
"taxonomy_term","cities",0,193,193,"und",0,38.65,41.6,0.62456136433787,0.78097573725207,0.72605696882964
"taxonomy_term","cities",0,194,194,"und",0,49.68333,12.41667,0.76248011626943,0.64701164772649,0.2167117736336
"taxonomy_term","cities",0,195,195,"und",0,50.52052,20.52649,0.77185233994418,0.6358018286563,0.35825483437769
"taxonomy_term","cities",0,196,196,"und",0,51.05534,22.63017,0.7777534375349,0.62856947937571,0.39497097678605
"taxonomy_term","cities",0,197,197,"und",0,47.41667,13.31667,0.73629399057908,0.67666177624951,0.23241973690155
"taxonomy_term","cities",0,198,198,"und",0,49.42497,13.17675,0.75955484829687,0.65044325842361,0.22997767221216
"taxonomy_term","cities",0,199,199,"und",0,49.487,15.71881,0.76025859094038,0.64962056225257,0.27434498899541
"taxonomy_term","cities",0,201,201,"und",0,52.4069,16.92993,0.79236311599976,0.61004974584303,0.29548302063216
"taxonomy_term","cities",0,202,202,"und",0,52.39886,13.06566,0.79227750329046,0.61016092777221,0.22803878594612
"taxonomy_term","cities",0,203,203,"und",0,48.7043,13.48269,0.75131366395711,0.65994528436177,0.23531733252571
"taxonomy_term","cities",0,204,204,"und",0,50.08804,14.42076,0.76703123802209,0.64160975670442,0.2516897426399
"taxonomy_term","cities",0,205,205,"und",0,53.31625,13.86261,0.8019451080506,0.59739772653879,0.24194818741989
"taxonomy_term","cities",0,208,208,"und",0,51.08789,19.87384,0.7781104052661,0.62812753260514,0.34686394301455
"taxonomy_term","cities",0,211,211,"und",0,49.36769,17.91499,0.7589042047135,0.65120227891813,0.31267556096186
"taxonomy_term","cities",0,212,212,"und",0,11.72833,42.67889,0.20327144900668,0.97912242238584,0.74488715159648
"taxonomy_term","cities",0,213,213,"und",0,49.01681,12.09536,0.75490202879652,0.65583757662922,0.21110385621402
"taxonomy_term","cities",0,214,214,"und",0,44.74009,7.97615,0.7038918787515,0.71030713288526,0.13921007913295
"taxonomy_term","cities",0,215,215,"und",0,49.73193,9.91478,0.76302865660425,0.64636465652193,0.17304555561088
"taxonomy_term","cities",0,217,217,"und",0,56.97778,24.12167,0.83845928724294,0.5449642406948,0.42100256257954
"taxonomy_term","cities",0,218,218,"und",0,50.12542,8.6089,0.76744966357568,0.64110920589052,0.15025364997494
"taxonomy_term","cities",0,219,219,"und",0,46.29311,0.11561,0.7228840598717,0.69096934518356,0.0020177751482306
