"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_occupation_tid
"node","person",0,391,391,"und",2,406
"node","person",0,394,394,"und",0,403
"node","person",0,395,395,"und",0,402
"node","person",0,396,396,"und",0,402
"node","person",0,396,396,"und",1,404
"node","person",0,398,398,"und",0,402
"node","person",0,398,398,"und",1,406
"node","person",0,398,398,"und",2,404
"node","person",0,398,398,"und",3,405
"node","person",0,399,399,"und",0,402
"node","person",0,402,402,"und",0,402
"node","person",0,410,410,"und",0,402
"node","person",0,412,412,"und",0,402
"node","person",0,413,413,"und",0,402
"node","person",0,417,417,"und",0,403
"node","person",0,417,417,"und",1,406
"node","person",0,418,418,"und",0,402
"node","person",0,418,418,"und",1,406
"node","person",0,421,421,"und",0,402
"node","person",0,421,421,"und",1,403
"node","person",0,423,423,"und",0,402
"node","person",0,423,423,"und",1,404
"node","person",0,423,423,"und",2,406
"node","person",0,423,423,"und",3,405
"node","person",0,424,424,"und",0,402
"node","person",0,424,424,"und",1,405
"node","person",0,425,425,"und",0,402
"node","person",0,427,427,"und",0,402
"node","person",0,430,430,"und",0,402
"node","person",0,431,431,"und",0,402
"node","person",0,431,431,"und",1,405
"node","person",0,433,433,"und",0,402
"node","person",0,434,434,"und",0,402
"node","person",0,434,434,"und",1,405
"node","person",0,438,438,"und",0,402
"node","person",0,439,439,"und",0,402
"node","person",0,439,439,"und",1,403
"node","person",0,448,448,"und",0,405
"node","person",0,448,448,"und",1,402
"node","person",0,449,449,"und",0,402
"node","person",0,453,453,"und",0,403
"node","person",0,458,458,"und",0,402
"node","person",0,459,459,"und",0,402
"node","person",0,461,461,"und",0,402
"node","person",0,462,462,"und",0,402
"node","person",0,464,464,"und",0,402
"node","person",0,464,464,"und",1,403
"node","person",0,470,470,"und",0,406
"node","person",0,480,480,"und",0,404
"node","person",0,487,487,"und",0,403
"node","person",0,488,488,"und",0,402
"node","person",0,489,489,"und",0,402
"node","person",0,489,489,"und",1,403
"node","person",0,489,489,"und",2,404
"node","person",0,491,491,"und",0,402
"node","person",0,491,491,"und",1,403
"node","person",0,491,491,"und",2,406
"node","person",0,492,492,"und",0,402
"node","person",0,494,494,"und",0,405
"node","person",0,502,502,"und",0,405
"node","person",0,517,517,"und",0,404
"node","person",0,531,531,"und",0,404
"node","person",0,533,533,"und",0,403
"node","person",0,606,606,"und",0,402
"node","person",0,689,689,"und",0,402
"node","person",0,713,713,"und",0,405
"node","person",0,744,744,"und",0,405
"node","person",0,792,792,"und",0,403
"node","person",0,799,799,"und",0,405
"node","person",0,809,809,"und",0,402
"node","person",0,809,809,"und",1,403
"node","person",0,810,810,"und",0,403
"node","person",0,824,824,"und",0,402
"node","person",0,873,873,"und",0,402
"node","person",0,873,873,"und",1,403
"node","person",0,923,923,"und",0,402
"node","person",0,924,924,"und",0,406
"node","person",0,924,924,"und",1,405
"node","person",0,933,933,"und",0,405
"node","person",0,942,942,"und",0,405
"node","person",0,1045,1045,"und",0,402
"node","person",0,1065,1065,"und",0,402
"node","person",0,1071,1071,"und",0,403
"node","person",0,1116,1116,"und",0,403
"node","person",0,1130,1130,"und",0,402
"node","person",0,1204,1204,"und",0,405
"node","person",0,1249,1249,"und",0,402
"node","person",0,1287,1287,"und",0,405
"node","person",0,1316,1316,"und",0,402
"node","person",0,1335,1335,"und",0,402
"node","person",0,1462,1462,"und",0,405
"node","person",0,1483,1483,"und",0,404
"node","person",0,1483,1483,"und",1,405
"node","person",0,1488,1488,"und",0,402
"node","person",0,1506,1506,"und",0,402
"node","person",0,1507,1507,"und",0,402
"node","person",0,1508,1508,"und",0,406
"node","person",0,1508,1508,"und",1,405
"node","person",0,1520,1520,"und",0,402
"node","person",0,1553,1553,"und",0,403
"node","person",0,1586,1586,"und",0,403
"node","person",0,1678,1678,"und",0,402
"node","person",0,1680,1680,"und",0,402
"node","person",0,1681,1681,"und",0,402
"node","person",0,1703,1703,"und",0,405
"node","person",0,1711,1711,"und",0,403
"node","person",0,1714,1714,"und",0,403
"node","person",0,1749,1749,"und",0,402
"node","person",0,1798,1798,"und",0,403
"node","person",0,1840,1840,"und",0,402
"node","person",0,1932,1932,"und",0,404
