"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_new_edition_type_else_ref_value","field_new_edition_type_else_ref_format"
"node","book",0,2190,2190,"und",0,"סנדלר, הביאור לתורה, עמ' 42","filtered_html"
"node","book",0,2194,2194,"und",0,"המאסף __","filtered_html"
