"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_book_target_id
"node","edition",0,2631,2631,"und",0,2250
"node","edition",0,2632,2632,"und",0,2250
"node","edition",0,2633,2633,"und",0,2250
"node","edition",0,2634,2634,"und",0,2250
"node","edition",0,2635,2635,"und",0,2250
"node","edition",0,2636,2636,"und",0,2250
"node","edition",0,2637,2637,"und",0,2250
"node","edition",0,2638,2638,"und",0,2250
"node","edition",0,2639,2639,"und",0,2250
"node","edition",0,2640,2640,"und",0,2250
"node","edition",0,2641,2641,"und",0,2250
"node","edition",0,2642,2642,"und",0,2250
"node","edition",0,2643,2643,"und",0,2250
"node","edition",0,2644,2644,"und",0,2250
"node","edition",0,2645,2645,"und",0,2250
"node","edition",0,2646,2646,"und",0,2250
"node","edition",0,2647,2647,"und",0,2250
"node","edition",0,2648,2648,"und",0,2250
"node","edition",0,2649,2649,"und",0,2250
"node","edition",0,2650,2650,"und",0,2250
"node","edition",0,2651,2651,"und",0,2250
"node","edition",0,2652,2652,"und",0,2250
"node","edition",0,2653,2653,"und",0,2250
"node","edition",0,2654,2654,"und",0,2255
"node","edition",0,2655,2655,"und",0,2255
"node","edition",0,2656,2656,"und",0,2258
"node","edition",0,2657,2657,"und",0,2258
"node","edition",0,2658,2658,"und",0,2271
"node","edition",0,2659,2659,"und",0,2276
"node","edition",0,2660,2660,"und",0,2276
"node","edition",0,2661,2661,"und",0,2277
"node","edition",0,2662,2662,"und",0,2287
"node","edition",0,2663,2663,"und",0,2287
"node","edition",0,2664,2664,"und",0,2287
"node","edition",0,2665,2665,"und",0,2287
"node","edition",0,2666,2666,"und",0,2287
"node","edition",0,2667,2667,"und",0,2287
"node","edition",0,2668,2668,"und",0,2287
"node","edition",0,2669,2669,"und",0,2287
"node","edition",0,2670,2670,"und",0,2287
"node","edition",0,2671,2671,"und",0,2290
"node","edition",0,2672,2672,"und",0,2290
"node","edition",0,2673,2673,"und",0,2292
"node","edition",0,2674,2674,"und",0,2292
"node","edition",0,2675,2675,"und",0,2292
"node","edition",0,2676,2676,"und",0,2295
"node","edition",0,2677,2677,"und",0,2295
"node","edition",0,2678,2678,"und",0,2295
"node","edition",0,2679,2679,"und",0,2295
"node","edition",0,2680,2680,"und",0,2295
"node","edition",0,2681,2681,"und",0,2295
"node","edition",0,2682,2682,"und",0,2295
"node","edition",0,2683,2683,"und",0,2295
"node","edition",0,2684,2684,"und",0,2303
"node","edition",0,2685,2685,"und",0,2312
"node","edition",0,2686,2686,"und",0,2312
"node","edition",0,2687,2687,"und",0,2314
"node","edition",0,2688,2688,"und",0,2322
"node","edition",0,2689,2689,"und",0,2336
"node","edition",0,2690,2690,"und",0,2336
"node","edition",0,2691,2691,"und",0,2336
"node","edition",0,2692,2692,"und",0,2337
"node","edition",0,2693,2693,"und",0,2337
"node","edition",0,2694,2694,"und",0,2337
"node","edition",0,2695,2695,"und",0,2337
"node","edition",0,2696,2696,"und",0,2337
"node","edition",0,2697,2697,"und",0,2337
"node","edition",0,2698,2698,"und",0,2337
"node","edition",0,2699,2699,"und",0,2337
"node","edition",0,2700,2700,"und",0,2337
"node","edition",0,2701,2701,"und",0,2337
"node","edition",0,2702,2702,"und",0,2337
"node","edition",0,2703,2703,"und",0,2337
"node","edition",0,2704,2704,"und",0,2337
"node","edition",0,2705,2705,"und",0,2337
"node","edition",0,2706,2706,"und",0,2337
"node","edition",0,2707,2707,"und",0,2337
"node","edition",0,2708,2708,"und",0,2337
"node","edition",0,2709,2709,"und",0,2337
"node","edition",0,2710,2710,"und",0,2337
"node","edition",0,2711,2711,"und",0,2337
"node","edition",0,2712,2712,"und",0,2343
"node","edition",0,2713,2713,"und",0,2347
"node","edition",0,2714,2714,"und",0,2347
"node","edition",0,2715,2715,"und",0,2347
"node","edition",0,2716,2716,"und",0,2347
"node","edition",0,2717,2717,"und",0,2347
"node","edition",0,2718,2718,"und",0,2347
"node","edition",0,2719,2719,"und",0,2347
"node","edition",0,2720,2720,"und",0,2347
"node","edition",0,2721,2721,"und",0,2347
"node","edition",0,2722,2722,"und",0,2347
"node","edition",0,2723,2723,"und",0,2347
"node","edition",0,2724,2724,"und",0,2347
"node","edition",0,2725,2725,"und",0,2347
"node","edition",0,2726,2726,"und",0,2347
"node","edition",0,2727,2727,"und",0,2347
"node","edition",0,2728,2728,"und",0,2347
"node","edition",0,2729,2729,"und",0,2356
"node","edition",0,2730,2730,"und",0,2361
"node","edition",0,2731,2731,"und",0,2361
"node","edition",0,2732,2732,"und",0,2361
"node","edition",0,2733,2733,"und",0,2363
"node","edition",0,2734,2734,"und",0,2363
"node","edition",0,2735,2735,"und",0,2363
"node","edition",0,2736,2736,"und",0,2363
"node","edition",0,2737,2737,"und",0,2363
"node","edition",0,2738,2738,"und",0,2363
"node","edition",0,2739,2739,"und",0,2363
"node","edition",0,2740,2740,"und",0,2363
"node","edition",0,2741,2741,"und",0,2365
"node","edition",0,2742,2742,"und",0,2365
"node","edition",0,2743,2743,"und",0,2374
"node","edition",0,2744,2744,"und",0,2376
"node","edition",0,2745,2745,"und",0,2376
"node","edition",0,2746,2746,"und",0,2378
"node","edition",0,2747,2747,"und",0,2384
"node","edition",0,2748,2748,"und",0,2384
"node","edition",0,2749,2749,"und",0,2391
"node","edition",0,2750,2750,"und",0,2414
"node","edition",0,2751,2751,"und",0,2414
"node","edition",0,2752,2752,"und",0,2419
"node","edition",0,2753,2753,"und",0,2421
"node","edition",0,2754,2754,"und",0,2421
"node","edition",0,2755,2755,"und",0,2421
"node","edition",0,2756,2756,"und",0,2422
"node","edition",0,2757,2757,"und",0,2422
"node","edition",0,2758,2758,"und",0,2432
"node","edition",0,2759,2759,"und",0,2432
"node","edition",0,2760,2760,"und",0,2453
"node","edition",0,2761,2761,"und",0,2453
"node","edition",0,2762,2762,"und",0,2453
"node","edition",0,2763,2763,"und",0,2453
"node","edition",0,2764,2764,"und",0,2454
"node","edition",0,2765,2765,"und",0,2454
"node","edition",0,2766,2766,"und",0,2454
"node","edition",0,2767,2767,"und",0,2454
"node","edition",0,2768,2768,"und",0,2454
"node","edition",0,2769,2769,"und",0,2455
"node","edition",0,2770,2770,"und",0,2455
"node","edition",0,2771,2771,"und",0,2455
"node","edition",0,2772,2772,"und",0,2455
"node","edition",0,2773,2773,"und",0,2455
"node","edition",0,2774,2774,"und",0,2456
"node","edition",0,2775,2775,"und",0,2456
"node","edition",0,2776,2776,"und",0,2456
"node","edition",0,2777,2777,"und",0,2456
"node","edition",0,2778,2778,"und",0,2456
"node","edition",0,2779,2779,"und",0,2457
"node","edition",0,2780,2780,"und",0,2457
"node","edition",0,2781,2781,"und",0,2457
"node","edition",0,2782,2782,"und",0,2457
"node","edition",0,2783,2783,"und",0,2457
"node","edition",0,2784,2784,"und",0,2470
"node","edition",0,2785,2785,"und",0,2471
"node","edition",0,2786,2786,"und",0,2474
"node","edition",0,2787,2787,"und",0,2474
"node","edition",0,2788,2788,"und",0,2474
"node","edition",0,2789,2789,"und",0,2474
"node","edition",0,2790,2790,"und",0,2474
"node","edition",0,2791,2791,"und",0,2474
"node","edition",0,2792,2792,"und",0,2474
"node","edition",0,2793,2793,"und",0,2474
"node","edition",0,2794,2794,"und",0,2474
"node","edition",0,2795,2795,"und",0,2474
"node","edition",0,2796,2796,"und",0,2475
"node","edition",0,2797,2797,"und",0,2475
"node","edition",0,2798,2798,"und",0,2475
"node","edition",0,2799,2799,"und",0,2475
"node","edition",0,2800,2800,"und",0,2475
"node","edition",0,2801,2801,"und",0,2475
"node","edition",0,2802,2802,"und",0,2475
"node","edition",0,2803,2803,"und",0,2475
"node","edition",0,2804,2804,"und",0,2475
"node","edition",0,2805,2805,"und",0,2475
"node","edition",0,2806,2806,"und",0,2476
"node","edition",0,2807,2807,"und",0,2476
"node","edition",0,2808,2808,"und",0,2476
"node","edition",0,2809,2809,"und",0,2476
"node","edition",0,2810,2810,"und",0,2476
"node","edition",0,2811,2811,"und",0,2476
"node","edition",0,2812,2812,"und",0,2476
"node","edition",0,2813,2813,"und",0,2476
"node","edition",0,2814,2814,"und",0,2476
"node","edition",0,2815,2815,"und",0,2476
"node","edition",0,2816,2816,"und",0,2478
"node","edition",0,2817,2817,"und",0,2478
"node","edition",0,2818,2818,"und",0,2478
"node","edition",0,2819,2819,"und",0,2478
"node","edition",0,2820,2820,"und",0,2478
"node","edition",0,2821,2821,"und",0,2478
"node","edition",0,2822,2822,"und",0,2478
"node","edition",0,2823,2823,"und",0,2478
"node","edition",0,2824,2824,"und",0,2478
"node","edition",0,2825,2825,"und",0,2478
"node","edition",0,2826,2826,"und",0,2478
"node","edition",0,2827,2827,"und",0,2478
"node","edition",0,2828,2828,"und",0,2478
"node","edition",0,2829,2829,"und",0,2478
"node","edition",0,2830,2830,"und",0,2478
"node","edition",0,2831,2831,"und",0,2478
"node","edition",0,2832,2832,"und",0,2478
"node","edition",0,2833,2833,"und",0,2478
"node","mention",0,2834,2834,"und",0,1959
"node","mention",0,2835,2835,"und",0,1960
"node","mention",0,2836,2836,"und",0,1962
"node","mention",0,2837,2837,"und",0,1971
"node","mention",0,2838,2838,"und",0,1979
"node","mention",0,2839,2839,"und",0,1981
"node","mention",0,2840,2840,"und",0,1981
"node","mention",0,2841,2841,"und",0,1982
"node","mention",0,2842,2842,"und",0,1990
"node","mention",0,2843,2843,"und",0,1997
"node","mention",0,2844,2844,"und",0,1997
"node","mention",0,2845,2845,"und",0,1997
"node","mention",0,2846,2846,"und",0,1997
"node","mention",0,2847,2847,"und",0,1997
"node","mention",0,2848,2848,"und",0,1997
"node","mention",0,2849,2849,"und",0,1997
"node","mention",0,2850,2850,"und",0,1997
"node","mention",0,2851,2851,"und",0,1997
"node","mention",0,2852,2852,"und",0,1997
"node","mention",0,2853,2853,"und",0,1997
"node","mention",0,2854,2854,"und",0,1997
"node","mention",0,2855,2855,"und",0,1997
"node","mention",0,2856,2856,"und",0,1997
"node","mention",0,2857,2857,"und",0,1997
"node","mention",0,2858,2858,"und",0,1997
"node","mention",0,2859,2859,"und",0,1997
"node","mention",0,2860,2860,"und",0,1997
"node","mention",0,2861,2861,"und",0,1997
"node","mention",0,2862,2862,"und",0,1997
"node","mention",0,2863,2863,"und",0,1997
"node","mention",0,2864,2864,"und",0,1997
"node","mention",0,2865,2865,"und",0,1997
"node","mention",0,2866,2866,"und",0,1997
"node","mention",0,2867,2867,"und",0,1997
"node","mention",0,2868,2868,"und",0,1997
"node","mention",0,2869,2869,"und",0,1997
"node","mention",0,2870,2870,"und",0,1997
"node","mention",0,2871,2871,"und",0,1997
"node","mention",0,2872,2872,"und",0,1997
"node","mention",0,2873,2873,"und",0,1997
"node","mention",0,2874,2874,"und",0,1997
"node","mention",0,2875,2875,"und",0,1997
"node","mention",0,2876,2876,"und",0,1997
"node","mention",0,2877,2877,"und",0,1997
"node","mention",0,2878,2878,"und",0,1997
"node","mention",0,2879,2879,"und",0,1997
"node","mention",0,2880,2880,"und",0,1997
"node","mention",0,2881,2881,"und",0,1997
"node","mention",0,2882,2882,"und",0,1997
"node","mention",0,2883,2883,"und",0,1997
"node","mention",0,2884,2884,"und",0,1997
"node","mention",0,2885,2885,"und",0,1997
"node","mention",0,2886,2886,"und",0,1997
"node","mention",0,2887,2887,"und",0,1997
"node","mention",0,2888,2888,"und",0,1997
"node","mention",0,2889,2889,"und",0,1997
"node","mention",0,2890,2890,"und",0,1997
"node","mention",0,2891,2891,"und",0,1997
"node","mention",0,2892,2892,"und",0,1997
"node","mention",0,2893,2893,"und",0,1997
"node","mention",0,2894,2894,"und",0,1997
"node","mention",0,2895,2895,"und",0,1997
"node","mention",0,2896,2896,"und",0,1997
"node","mention",0,2897,2897,"und",0,1997
"node","mention",0,2898,2898,"und",0,1997
"node","mention",0,2899,2899,"und",0,1997
"node","mention",0,2900,2900,"und",0,1997
"node","mention",0,2901,2901,"und",0,1997
"node","mention",0,2902,2902,"und",0,1997
"node","mention",0,2903,2903,"und",0,1997
"node","mention",0,2904,2904,"und",0,1997
"node","mention",0,2905,2905,"und",0,1997
"node","mention",0,2906,2906,"und",0,1997
"node","mention",0,2907,2907,"und",0,1997
"node","mention",0,2908,2908,"und",0,1997
"node","mention",0,2909,2909,"und",0,1997
"node","mention",0,2910,2910,"und",0,1997
"node","mention",0,2911,2911,"und",0,1997
"node","mention",0,2912,2912,"und",0,1997
"node","mention",0,2913,2913,"und",0,1997
"node","mention",0,2914,2914,"und",0,1997
"node","mention",0,2915,2915,"und",0,1997
"node","mention",0,2916,2916,"und",0,1997
"node","mention",0,2917,2917,"und",0,1997
"node","mention",0,2918,2918,"und",0,1997
"node","mention",0,2919,2919,"und",0,1997
"node","mention",0,2920,2920,"und",0,1997
"node","mention",0,2922,2922,"und",0,1997
"node","mention",0,2923,2923,"und",0,1997
"node","mention",0,2924,2924,"und",0,1997
"node","mention",0,2925,2925,"und",0,1997
"node","mention",0,2926,2926,"und",0,1997
