"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,2055,2055,"und",0,"לאומית S 57 A 1918","filtered_html"
"node","book",0,2056,2056,"und",0,"הספריה הלאומית: S 23V6525","filtered_html"
"node","book",0,2057,2057,"und",0,"JNUL: MIC 666","filtered_html"
"node","book",0,2058,2058,"und",0,"SL: JNUL: 22 V2080","filtered_html"
"node","book",0,2059,2059,"und",0,"http://mdz1.bib-bvb.de/~db/bsb00001295/images/","filtered_html"
"node","book",0,2060,2060,"und",0,"SL: JNUL: S 56 B63","filtered_html"
"node","book",0,2062,2062,"und",0,"UB Tübingen: Fo XVIII 67-OR","filtered_html"
"node","book",0,2063,2063,"und",0,"SL: JNUL: S 59 B1167","filtered_html"
"node","book",0,2064,2064,"und",0,"SL: JNUL: S 60 B584","filtered_html"
"node","book",0,2066,2066,"und",0,"Universitätsbibliothek Regensburg: BD 9260 A375","filtered_html"
"node","book",0,2067,2067,"und",0,"JNUL: S 64 B13","filtered_html"
"node","book",0,2068,2068,"und",0,"Bayerische Staatsbibliothek: Res/Asc. 5311,14","filtered_html"
"node","book",0,2069,2069,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2070,2070,"und",0,"UB Rostock: CIc-377","filtered_html"
"node","book",0,2071,2071,"und",0,"SBBPK: Ay16198","filtered_html"
"node","book",0,2072,2072,"und",0,"ÖNB: MF 5790","filtered_html"
"node","book",0,2073,2073,"und",0,"UB Greifswald: 520/G 428","filtered_html"
"node","book",0,2074,2074,"und",0,"26V504   הלאומית העברית","filtered_html"
"node","book",0,2076,2076,"und",0,"Univ. Tel Aviv, Slg. Jaffe: 892","filtered_html"
"node","book",0,2077,2077,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2078,2078,"und",0,"הלאומית העברית
R /8= 22 V 12082","filtered_html"
"node","book",0,2079,2079,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2080,2080,"und",0,"ספריית אוניברסיטת תל אביב, מהלמן 296.3116 סטנ","filtered_html"
"node","book",0,2081,2081,"und",0,"הלאומית העברית:
R8 88 A 514","filtered_html"
"node","book",0,2082,2082,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2083,2083,"und",0,"בר אילן:
B43 בן-זאב.או תקס\"ז","filtered_html"
"node","book",0,2084,2084,"und",0,"בר אילן
B43 בן-זאב.או תקס\"ז","filtered_html"
"node","book",0,2085,2085,"und",0,"בר אילן
B43 בן-זאב.או תקס\"ז","filtered_html"
"node","book",0,2086,2086,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2091,2091,"und",0,"R 8= 35 V 3487","filtered_html"
"node","book",0,2094,2094,"und",0,"עותק באוניברסיטת תל אביב.","filtered_html"
"node","book",0,2097,2097,"und",0,"צילום עותק בספריה הלאומית","filtered_html"
"node","book",0,2098,2098,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2099,2099,"und",0,"עותק בספריה הלאומית - צילום","filtered_html"
"node","book",0,2100,2100,"und",0,"NYPL: 31225 MF","filtered_html"
"node","book",0,2101,2101,"und",0,"עותק (מיקרופילם) בספריה הלאומית","filtered_html"
"node","book",0,2105,2105,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2106,2106,"und",0,"ספריית אוניברסיטת ת\"א CT
492.45 לוי","filtered_html"
"node","book",0,2107,2107,"und",0,".C. OMPB 12113 (האותיות כאן מתהפכות, איילה צריכה לטפל כאן בבעייה. הסיגנטורה שנרשמה היא זו המופיעה על גבי העותק שצולם בפרוייקט הג'יף הקודם. בנסיון לאתר ספר זה דרך הקטלוג הממוחשב שבאינטרנט לא הצלחתי להעלות דבר )","filtered_html"
"node","book",0,2108,2108,"und",0,"המוזיאון הבריטי 58JY6","filtered_html"
"node","book",0,2109,2109,"und",0,"<p>עותק בספריה הלאומית, מאוסף מהלמן</p>
","filtered_html"
"node","book",0,2110,2110,"und",0,"Univ. Tel Aviv, Slg. Jaffe 
ריז892.412","filtered_html"
"node","book",0,2112,2112,"und",0,"הלאומית העברית:

R8 88 A 514","filtered_html"
"node","book",0,2113,2113,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2114,2114,"und",0,"לאומית
S 31 V 1707
(אכס 2)","filtered_html"
"node","book",0,2115,2115,"und",0,"ספרייה לאומית:

R 8= 29 V 1251","filtered_html"
"node","book",0,2116,2116,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2117,2117,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2118,2118,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2119,2119,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2120,2120,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2121,2121,"und",0,"תל אביב מהלמן:

296.45 שיף (עותק מצולם. יש לוודא שצולם במלואו)","filtered_html"
"node","book",0,2122,2122,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2123,2123,"und",0,"ספריית אוניברסיטת תל אביב, אוסף מהלמן: 296.19 סטנ","filtered_html"
"node","book",0,2124,2124,"und",0,"ספריית אוניברסיטת תל אביב, אוסף מהלמן: 296.19 סטנ","filtered_html"
"node","book",0,2129,2129,"und",0,"R 8= 82 A 539","filtered_html"
"node","book",0,2130,2130,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2131,2131,"und",0,"עותק בספריה הלאומית (צולם)","filtered_html"
"node","book",0,2133,2133,"und",0,"<p>בר-אילן: B46 חבי.דר תקס\"ו</p>
","filtered_html"
"node","book",0,2134,2134,"und",0,"<p>לאומית S 58 A 499</p>
","filtered_html"
"node","book",0,2135,2135,"und",0,"Uni München: BV004642957","filtered_html"
"node","book",0,2136,2136,"und",0,"Uni München: BV004642957","filtered_html"
"node","book",0,2137,2137,"und",0,"עותק הספריה הלאומית.  קיים עתה עותק דיגיטלי באתר של הספריה הלאומית.","filtered_html"
"node","book",0,2138,2138,"und",0,"העותק בספריה הלאומית","filtered_html"
"node","book",0,2139,2139,"und",0,"לאומית:

R 8= 56 A 50","filtered_html"
"node","book",0,2140,2140,"und",0,"הספרייה הבריטית:

1978c22","filtered_html"
"node","book",0,2141,2141,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2142,2142,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2143,2143,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2144,2144,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2145,2145,"und",0,"R 8= 23 V 3604","filtered_html"
"node","book",0,2146,2146,"und",0,"R 8= 23 V 3604","filtered_html"
"node","book",0,2147,2147,"und",0,"R 8= 23 V 3604","filtered_html"
"node","book",0,2148,2148,"und",0,"R 8= 23 V 3604","filtered_html"
"node","book",0,2149,2149,"und",0,"S 31 V 258","filtered_html"
"node","book",0,2150,2150,"und",0,"עותק באוניברסיטת בר אילן","filtered_html"
"node","book",0,2151,2151,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2152,2152,"und",0,"עותק באוניברסיטת תל אביב.","filtered_html"
"node","book",0,2154,2154,"und",0,"עותק בספריה באוניברסיטת תל אביב","filtered_html"
"node","book",0,2155,2155,"und",0,"לאומית:

R 0 39 A 1689","filtered_html"
"node","book",0,2156,2156,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2157,2157,"und",0,"לאומית

R 8= 31 V 4109","filtered_html"
"node","book",0,2159,2159,"und",0,"הלאומית העברית
R /8= 35 V 1762","filtered_html"
"node","book",0,2161,2161,"und",0,"UB Frankfurt/Main: MF 10306 Rolle 15 Nr. 5","filtered_html"
"node","book",0,2164,2164,"und",0,"תל אביב מהלמן:

892.4113 שלמ","filtered_html"
"node","book",0,2165,2165,"und",0,"עותק בתל אביב","filtered_html"
