"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_huji_library_id_value","field_huji_library_id_format"
"node","book",0,2145,2145,"und",0,"R 8= 23 V 3604",NULL
"node","book",0,2146,2146,"und",0,"R 8= 23 V 3604",NULL
"node","book",0,2147,2147,"und",0,"R 8= 23 V 3604",NULL
"node","book",0,2148,2148,"und",0,"R 8= 23 V 3604",NULL
"node","book",0,2149,2149,"und",0,"S 31 V 258",NULL
"node","book",0,2150,2150,"und",0,"S 35 V 4354",NULL
"node","book",0,2151,2151,"und",0,"R 2= 31 V 1476",NULL
"node","book",0,2152,2152,"und",0,"R 4= 43 A 1417",NULL
"node","book",0,2154,2154,"und",0,"R 8= 35 V 4347",NULL
"node","book",0,2155,2155,"und",0,"R 0 39 A 1689",NULL
"node","book",0,2156,2156,"und",0,"S30V1242",NULL
"node","book",0,2157,2157,"und",0,"R 8= 31 V 4109",NULL
"node","book",0,2158,2158,"und",0,"S 22 V 5800",NULL
"node","book",0,2159,2159,"und",0,"R /8= 35 V 1762           (35 V 1762",NULL
"node","book",0,2161,2161,"und",0,"2156830",NULL
"node","book",0,2162,2162,"und",0,"S 45 A 1404",NULL
"node","book",0,2165,2165,"und",0,"S 45 A 1347",NULL
"node","book",0,2166,2166,"und",0,"S 23 V 5104",NULL
"node","book",0,2167,2167,"und",0,"S 25 V 13990",NULL
"node","book",0,2168,2168,"und",0,"R 4=67 A 696",NULL
"node","book",0,2169,2169,"und",0,"S 22 V 5108",NULL
"node","book",0,2170,2170,"und",0,"S 23 V 4234",NULL
"node","book",0,2172,2172,"und",0,"S 25 V 14253",NULL
"node","book",0,2173,2173,"und",0,"S 25 V 14253",NULL
"node","book",0,2175,2175,"und",0,"S 61 A 1612",NULL
"node","book",0,2176,2176,"und",0,"S 31 V 1412",NULL
"node","book",0,2177,2177,"und",0,"R 8= 98 A 534",NULL
"node","book",0,2178,2178,"und",0,"R 8= 35 V 3070",NULL
"node","book",0,2179,2179,"und",0,"S /26 V 182",NULL
"node","book",0,2180,2180,"und",0,"R 73 A 1160",NULL
"node","book",0,2181,2181,"und",0,"S 26 V 186",NULL
"node","book",0,2182,2182,"und",0,"R 4= 63 A 2195",NULL
"node","book",0,2183,2183,"und",0,"R 4= 63 A 2195",NULL
"node","book",0,2184,2184,"und",0,"R 75 A 7333",NULL
"node","book",0,2185,2185,"und",0,"S 31 V 1646",NULL
"node","book",0,2186,2186,"und",0,"R 4= 31 V 1319",NULL
"node","book",0,2187,2187,"und",0,"R 8= 31 V 1322",NULL
"node","book",0,2188,2188,"und",0,"L44",NULL
"node","book",0,2189,2189,"und",0,"S 33 V 1301",NULL
"node","book",0,2190,2190,"und",0,"S 25 V 13497",NULL
"node","book",0,2191,2191,"und",0,"S 25 V 13726",NULL
"node","book",0,2192,2192,"und",0,"R /4= 35 V 4587",NULL
"node","book",0,2193,2193,"und",0,"S 22 V 12602",NULL
"node","book",0,2194,2194,"und",0,"S 33V93",NULL
"node","book",0,2195,2195,"und",0,"S 2= 94 A 4666",NULL
"node","book",0,2196,2196,"und",0,"S 22 V 1677",NULL
"node","book",0,2201,2201,"und",0,"S 45 A 1337",NULL
"node","book",0,2202,2202,"und",0,"S 23 V 4485)   R /8= 23 V 4485",NULL
"node","book",0,2203,2203,"und",0,"S 45 A 1337",NULL
"node","book",0,2204,2204,"und",0,"S 45 A 1337",NULL
"node","book",0,2205,2205,"und",0,"S 45 A 1337",NULL
"node","book",0,2207,2207,"und",0,"S=05041V52",NULL
"node","book",0,2208,2208,"und",0,"R 28B437",NULL
"node","book",0,2209,2209,"und",0,"S 26 V 709",NULL
"node","book",0,2210,2210,"und",0,"S 26 V 709",NULL
"node","book",0,2211,2211,"und",0,"S /26 V 842",NULL
"node","book",0,2212,2212,"und",0,"R 8=37 A 1946",NULL
"node","book",0,2213,2213,"und",0,"S 22 V 13255",NULL
"node","book",0,2214,2214,"und",0,"S 22 V 13255",NULL
"node","book",0,2215,2215,"und",0,"S 22 V 13255",NULL
"node","book",0,2216,2216,"und",0,"S 65 A 1217",NULL
"node","book",0,2217,2217,"und",0,"R4 = S 31 V 1320",NULL
"node","book",0,2219,2219,"und",0,"S 31 V 486",NULL
"node","book",0,2220,2220,"und",0,"R 71 A 1553",NULL
"node","book",0,2221,2221,"und",0,"R 8= 82 A 536",NULL
