"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_publisher_name_tid
"node","book",0,2159,2159,"und",0,596
"node","book",0,2161,2161,"und",0,430
"node","book",0,2162,2162,"und",0,593
"node","book",0,2164,2164,"und",0,652
"node","book",0,2165,2165,"und",0,653
"node","book",0,2166,2166,"und",0,554
"node","book",0,2167,2167,"und",0,654
"node","book",0,2168,2168,"und",0,517
"node","book",0,2169,2169,"und",0,430
"node","book",0,2170,2170,"und",0,656
"node","book",0,2171,2171,"und",0,430
"node","book",0,2172,2172,"und",0,658
"node","book",0,2173,2173,"und",0,659
"node","book",0,2174,2174,"und",0,487
"node","book",0,2175,2175,"und",0,430
"node","book",0,2176,2176,"und",0,633
"node","book",0,2177,2177,"und",0,621
"node","book",0,2179,2179,"und",0,653
"node","book",0,2181,2181,"und",0,430
"node","book",0,2182,2182,"und",0,666
"node","book",0,2183,2183,"und",0,668
"node","book",0,2184,2184,"und",0,458
"node","book",0,2189,2189,"und",0,669
"node","book",0,2191,2191,"und",0,647
"node","book",0,2192,2192,"und",0,670
"node","book",0,2192,2192,"und",1,671
"node","book",0,2193,2193,"und",0,430
"node","book",0,2194,2194,"und",0,430
"node","book",0,2196,2196,"und",0,593
"node","book",0,2198,2198,"und",0,633
"node","book",0,2199,2199,"und",0,673
"node","book",0,2200,2200,"und",0,674
"node","book",0,2201,2201,"und",0,430
"node","book",0,2203,2203,"und",0,430
"node","book",0,2204,2204,"und",0,430
"node","book",0,2205,2205,"und",0,430
"node","book",0,2206,2206,"und",0,677
"node","book",0,2209,2209,"und",0,554
"node","book",0,2210,2210,"und",0,554
"node","book",0,2211,2211,"und",0,430
"node","book",0,2212,2212,"und",0,430
"node","book",0,2213,2213,"und",0,430
"node","book",0,2214,2214,"und",0,430
"node","book",0,2215,2215,"und",0,430
"node","book",0,2216,2216,"und",0,681
"node","book",0,2217,2217,"und",0,682
"node","book",0,2219,2219,"und",0,430
"node","book",0,2220,2220,"und",0,684
"node","book",0,2221,2221,"und",0,685
"node","book",0,2222,2222,"und",0,633
"node","book",0,2223,2223,"und",0,633
"node","book",0,2224,2224,"und",0,633
"node","book",0,2225,2225,"und",0,633
"node","book",0,2226,2226,"und",0,633
"node","book",0,2227,2227,"und",0,633
"node","book",0,2228,2228,"und",0,633
"node","book",0,2229,2229,"und",0,633
"node","book",0,2230,2230,"und",0,690
"node","book",0,2231,2231,"und",0,430
"node","book",0,2234,2234,"und",0,593
"node","book",0,2237,2237,"und",0,430
"node","book",0,2240,2240,"und",0,512
"node","book",0,2241,2241,"und",0,511
"node","book",0,2242,2242,"und",0,430
"node","book",0,2243,2243,"und",0,430
"node","book",0,2245,2245,"und",0,430
"node","book",0,2246,2246,"und",0,430
"node","book",0,2247,2247,"und",0,430
"node","book",0,2248,2248,"und",0,430
"node","book",0,2250,2250,"und",0,430
"node","book",0,2252,2252,"und",0,430
"node","book",0,2253,2253,"und",0,700
"node","book",0,2254,2254,"und",0,701
"node","book",0,2256,2256,"und",0,702
"node","book",0,2258,2258,"und",0,703
"node","book",0,2259,2259,"und",0,705
"node","book",0,2260,2260,"und",0,702
"node","book",0,2261,2261,"und",0,709
"node","book",0,2262,2262,"und",0,430
"node","book",0,2265,2265,"und",0,430
"node","book",0,2266,2266,"und",0,658
"node","book",0,2267,2267,"und",0,710
"node","book",0,2268,2268,"und",0,712
"node","book",0,2270,2270,"und",0,650
"node","book",0,2271,2271,"und",0,554
"node","book",0,2272,2272,"und",0,673
"node","book",0,2273,2273,"und",0,647
"node","book",0,2274,2274,"und",0,712
"node","book",0,2276,2276,"und",0,714
"node","book",0,2277,2277,"und",0,430
"node","book",0,2282,2282,"und",0,430
"node","book",0,2283,2283,"und",0,618
"node","book",0,2285,2285,"und",0,430
"node","book",0,2286,2286,"und",0,430
"node","book",0,2287,2287,"und",0,430
"node","book",0,2288,2288,"und",0,430
"node","book",0,2289,2289,"und",0,718
"node","book",0,2289,2289,"und",1,719
"node","book",0,2289,2289,"und",2,720
"node","book",0,2289,2289,"und",3,721
"node","book",0,2289,2289,"und",4,722
"node","book",0,2290,2290,"und",0,430
"node","book",0,2291,2291,"und",0,430
"node","book",0,2292,2292,"und",0,430
"node","book",0,2293,2293,"und",0,641
