"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_edition_year_value","field_edition_year_format"
"node","edition",0,2507,2507,"und",0,"1788",NULL
"node","edition",0,2508,2508,"und",0,"1994",NULL
"node","edition",0,2509,2509,"und",0,"1799",NULL
"node","edition",0,2510,2510,"und",0,"1813",NULL
"node","edition",0,2511,2511,"und",0,"1815",NULL
"node","edition",0,2512,2512,"und",0,"1817",NULL
"node","edition",0,2513,2513,"und",0,"1808",NULL
"node","edition",0,2514,2514,"und",0,"תק\"ן",NULL
"node","edition",0,2515,2515,"und",0,"1800",NULL
"node","edition",0,2516,2516,"und",0,"1806",NULL
"node","edition",0,2517,2517,"und",0,"1814",NULL
"node","edition",0,2518,2518,"und",0,"1790",NULL
"node","edition",0,2519,2519,"und",0,"תקס\"ה (1805)",NULL
"node","edition",0,2520,2520,"und",0,"1809",NULL
"node","edition",0,2521,2521,"und",0,"1817",NULL
"node","edition",0,2522,2522,"und",0,"1826",NULL
"node","edition",0,2523,2523,"und",0,"1834",NULL
"node","edition",0,2524,2524,"und",0,"1854",NULL
"node","edition",0,2525,2525,"und",0,"1860",NULL
"node","edition",0,2526,2526,"und",0,"1863",NULL
"node","edition",0,2527,2527,"und",0,"תרכ\"ד",NULL
"node","edition",0,2528,2528,"und",0,"1881",NULL
"node","edition",0,2529,2529,"und",0,"תרנ\"ד",NULL
"node","edition",0,2530,2530,"und",0,"1967",NULL
"node","edition",0,2531,2531,"und",0,"תקס\"ב",NULL
"node","edition",0,2532,2532,"und",0,"תקס\"ו",NULL
"node","edition",0,2533,2533,"und",0,"תקס\"ט",NULL
"node","edition",0,2534,2534,"und",0,"תקע\"א",NULL
"node","edition",0,2535,2535,"und",0,"1816",NULL
"node","edition",0,2536,2536,"und",0,"1820",NULL
"node","edition",0,2537,2537,"und",0,"1825",NULL
"node","edition",0,2538,2538,"und",0,"1827",NULL
"node","edition",0,2539,2539,"und",0,"1836",NULL
"node","edition",0,2540,2540,"und",0,"1842",NULL
"node","edition",0,2541,2541,"und",0,"1849",NULL
"node","edition",0,2542,2542,"und",0,"1849",NULL
"node","edition",0,2543,2543,"und",0,"1851",NULL
"node","edition",0,2544,2544,"und",0,"1851",NULL
"node","edition",0,2545,2545,"und",0,"1865",NULL
"node","edition",0,2546,2546,"und",0,"תרל\"א",NULL
"node","edition",0,2547,2547,"und",0,"תרל\"ג",NULL
"node","edition",0,2548,2548,"und",0,"1874",NULL
"node","edition",0,2549,2549,"und",0,"1883",NULL
"node","edition",0,2550,2550,"und",0,"1883",NULL
"node","edition",0,2551,2551,"und",0,"1898",NULL
"node","edition",0,2552,2552,"und",0,"תקס\"ו",NULL
"node","edition",0,2553,2553,"und",0,"תקס\"ט",NULL
"node","edition",0,2554,2554,"und",0,"תקע\"א",NULL
"node","edition",0,2555,2555,"und",0,"1816",NULL
"node","edition",0,2556,2556,"und",0,"1820",NULL
"node","edition",0,2557,2557,"und",0,"1827",NULL
"node","edition",0,2558,2558,"und",0,"1836",NULL
"node","edition",0,2559,2559,"und",0,"1842",NULL
"node","edition",0,2560,2560,"und",0,"1849",NULL
"node","edition",0,2561,2561,"und",0,"1851",NULL
"node","edition",0,2562,2562,"und",0,"1874",NULL
"node","edition",0,2563,2563,"und",0,"1883",NULL
"node","edition",0,2564,2564,"und",0,"תקמ\"ו",NULL
"node","edition",0,2565,2565,"und",0,"תקנ\"ו",NULL
"node","edition",0,2566,2566,"und",0,"תק\"ס",NULL
"node","edition",0,2567,2567,"und",0,"תקס\"ז",NULL
"node","edition",0,2568,2568,"und",0,"תקמ\"ב",NULL
"node","edition",0,2569,2569,"und",0,"תקפ\"ז",NULL
"node","edition",0,2570,2570,"und",0,"תרמ\"ו",NULL
"node","edition",0,2571,2571,"und",0,"תקנ\"ד",NULL
"node","edition",0,2572,2572,"und",0,"תקמ\"ד",NULL
"node","edition",0,2573,2573,"und",0,"תקפ\"ז",NULL
"node","edition",0,2574,2574,"und",0,"תרמ\"ו",NULL
"node","edition",0,2575,2575,"und",0,"תקמ\"ה",NULL
"node","edition",0,2576,2576,"und",0,"תקפ\"ז",NULL
"node","edition",0,2577,2577,"und",0,"תרמ\"ו",NULL
"node","edition",0,2578,2578,"und",0,"תקנז",NULL
"node","edition",0,2579,2579,"und",0,"תקס\"ז",NULL
"node","edition",0,2580,2580,"und",0,"תק\"ע",NULL
"node","edition",0,2581,2581,"und",0,"תקמ\"ח",NULL
"node","edition",0,2582,2582,"und",0,"תקמ\"ו",NULL
"node","edition",0,2583,2583,"und",0,"1795",NULL
"node","edition",0,2584,2584,"und",0,"תקנ\"ו",NULL
"node","edition",0,2586,2586,"und",0,"תרכ\"ז",NULL
"node","edition",0,2587,2587,"und",0,"1796",NULL
"node","edition",0,2588,2588,"und",0,"1826",NULL
"node","edition",0,2589,2589,"und",0,"1837",NULL
"node","edition",0,2590,2590,"und",0,"1871",NULL
"node","edition",0,2591,2591,"und",0,"1874",NULL
"node","edition",0,2592,2592,"und",0,"1879",NULL
"node","edition",0,2593,2593,"und",0,"1883",NULL
"node","edition",0,2594,2594,"und",0,"1884",NULL
"node","edition",0,2595,2595,"und",0,"1908/9",NULL
"node","edition",0,2596,2596,"und",0,"1912",NULL
"node","edition",0,2597,2597,"und",0,"1925",NULL
"node","edition",0,2598,2598,"und",0,"תקנז",NULL
"node","edition",0,2599,2599,"und",0,"1771",NULL
"node","edition",0,2600,2600,"und",0,"תקמט",NULL
"node","edition",0,2601,2601,"und",0,"תקע",NULL
"node","edition",0,2602,2602,"und",0,"תקעג",NULL
"node","edition",0,2603,2603,"und",0,"1808",NULL
"node","edition",0,2604,2604,"und",0,"תקע\"ז",NULL
"node","edition",0,2605,2605,"und",0,"1823",NULL
"node","edition",0,2606,2606,"und",0,"1810",NULL
"node","edition",0,2607,2607,"und",0,"תקע\"ז",NULL
"node","edition",0,2608,2608,"und",0,"1823",NULL
"node","edition",0,2609,2609,"und",0,"תקע\"ב",NULL
"node","edition",0,2610,2610,"und",0,"1794",NULL
"node","edition",0,2611,2611,"und",0,"1820",NULL
"node","edition",0,2612,2612,"und",0,"1822",NULL
"node","edition",0,2613,2613,"und",0,"1825",NULL
