"menu_name",mlid,plid,"link_path","router_path","link_title","options","module",hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
"management",1,0,"admin","admin","Administration","a:0:{}","system",0,0,1,0,9,1,0,1,0,0,0,0,0,0,0,0,0
"user-menu",2,0,"user","user","User account","a:2:{s:5:\"alter\";b:1;s:10:\"identifier\";s:27:\"user-menu_user-account:user\";}","system",1,0,0,0,-10,1,1,2,0,0,0,0,0,0,0,0,0
"navigation",3,0,"filter/tips","filter/tips","Compose tips","a:0:{}","system",1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"navigation",4,0,"node/%","node/%","","a:0:{}","system",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"navigation",5,0,"node/add","node/add","Add content","a:0:{}","system",0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0
"management",6,1,"admin/appearance","admin/appearance","Appearance","a:1:{s:10:\"attributes\";a:1:{s:5:\"title\";s:33:\"Select and configure your themes.\";}}","system",0,0,0,0,-6,2,0,1,6,0,0,0,0,0,0,0,0
"management",7,1,"admin/config","admin/config","Configuration","a:1:{s:10:\"attributes\";a:1:{s:5:\"title\";s:20:\"Administer settings.\";}}","system",0,0,1,0,0,2,0,1,7,0,0,0,0,0,0,0,0
"user-menu",8,2,"user/register","user/register","Create new account","a:0:{}","system",-1,0,0,0,0,2,0,2,8,0,0,0,0,0,0,0,0
"management",9,1,"admin/index","admin/index","Index","a:0:{}","system",-1,0,0,0,-18,2,0,1,9,0,0,0,0,0,0,0,0
"user-menu",10,2,"user/login","user/login","Log in","a:0:{}","system",-1,0,0,0,0,2,0,2,10,0,0,0,0,0,0,0,0
"user-menu",11,0,"user/logout","user/logout","Log out","a:0:{}","system",0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0
"management",12,1,"admin/modules","admin/modules","Modules","a:1:{s:10:\"attributes\";a:1:{s:5:\"title\";s:26:\"Extend site functionality.\";}}","system",0,0,0,0,-2,2,0,1,12,0,0,0,0,0,0,0,0
"navigation",13,0,"user/%","user/%","My account","a:0:{}","system",0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0
"management",14,1,"admin/reports","admin/reports","Reports","a:1:{s:10:\"attributes\";a:1:{s:5:\"title\";s:34:\"View reports, updates, and errors.\";}}","system",0,0,1,0,5,2,0,1,14,0,0,0,0,0,0,0,0
