"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_edition_city_tid
"node","edition",0,2507,2507,"und",0,14
"node","edition",0,2509,2509,"und",0,14
"node","edition",0,2510,2510,"und",0,273
"node","edition",0,2511,2511,"und",0,273
"node","edition",0,2512,2512,"und",0,14
"node","edition",0,2514,2514,"und",0,14
"node","edition",0,2515,2515,"und",0,273
"node","edition",0,2516,2516,"und",0,204
"node","edition",0,2517,2517,"und",0,273
"node","edition",0,2518,2518,"und",0,14
"node","edition",0,2519,2519,"und",0,287
"node","edition",0,2520,2520,"und",0,273
"node","edition",0,2521,2521,"und",0,3
"node","edition",0,2522,2522,"und",0,108
"node","edition",0,2523,2523,"und",0,274
"node","edition",0,2524,2524,"und",0,140
"node","edition",0,2525,2525,"und",0,273
"node","edition",0,2526,2526,"und",0,273
"node","edition",0,2527,2527,"und",0,276
"node","edition",0,2528,2528,"und",0,276
"node","edition",0,2529,2529,"und",0,276
"node","edition",0,2530,2530,"und",0,254
"node","edition",0,2531,2531,"und",0,273
"node","edition",0,2532,2532,"und",0,273
"node","edition",0,2533,2533,"und",0,273
"node","edition",0,2534,2534,"und",0,273
"node","edition",0,2535,2535,"und",0,273
"node","edition",0,2536,2536,"und",0,273
"node","edition",0,2537,2537,"und",0,273
"node","edition",0,2538,2538,"und",0,273
"node","edition",0,2539,2539,"und",0,273
"node","edition",0,2540,2540,"und",0,273
"node","edition",0,2541,2541,"und",0,273
"node","edition",0,2542,2542,"und",0,273
"node","edition",0,2543,2543,"und",0,273
"node","edition",0,2544,2544,"und",0,276
"node","edition",0,2545,2545,"und",0,273
"node","edition",0,2546,2546,"und",0,276
"node","edition",0,2547,2547,"und",0,276
"node","edition",0,2548,2548,"und",0,140
"node","edition",0,2549,2549,"und",0,276
"node","edition",0,2550,2550,"und",0,140
"node","edition",0,2551,2551,"und",0,276
"node","edition",0,2552,2552,"und",0,273
"node","edition",0,2553,2553,"und",0,273
"node","edition",0,2554,2554,"und",0,273
"node","edition",0,2555,2555,"und",0,273
"node","edition",0,2556,2556,"und",0,273
"node","edition",0,2557,2557,"und",0,273
"node","edition",0,2558,2558,"und",0,273
"node","edition",0,2559,2559,"und",0,273
"node","edition",0,2560,2560,"und",0,273
"node","edition",0,2561,2561,"und",0,276
"node","edition",0,2562,2562,"und",0,140
"node","edition",0,2563,2563,"und",0,140
"node","edition",0,2564,2564,"und",0,14
"node","edition",0,2565,2565,"und",0,35
"node","edition",0,2568,2568,"und",0,14
"node","edition",0,2569,2569,"und",0,273
"node","edition",0,2570,2570,"und",0,276
"node","edition",0,2571,2571,"und",0,14
"node","edition",0,2572,2572,"und",0,14
"node","edition",0,2573,2573,"und",0,273
"node","edition",0,2574,2574,"und",0,276
"node","edition",0,2575,2575,"und",0,14
"node","edition",0,2576,2576,"und",0,273
"node","edition",0,2577,2577,"und",0,276
"node","edition",0,2578,2578,"und",0,3
"node","edition",0,2579,2579,"und",0,273
"node","edition",0,2580,2580,"und",0,54
"node","edition",0,2581,2581,"und",0,14
