"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_preface_writer_target_id
"node","preface",0,5545,5545,"und",0,480
"node","preface",0,5546,5546,"und",0,480
"node","preface",0,5547,5547,"und",0,480
"node","preface",0,5548,5548,"und",0,1130
"node","preface",0,5550,5550,"und",0,5549
"node","preface",0,5552,5552,"und",0,5551
"node","preface",0,5554,5554,"und",0,168
"node","preface",0,5555,5555,"und",0,232
"node","preface",0,5556,5556,"und",0,81
"node","preface",0,5557,5557,"und",0,1680
"node","preface",0,5558,5558,"und",0,1680
"node","preface",0,5559,5559,"und",0,1680
"node","preface",0,5560,5560,"und",0,193
"node","preface",0,5561,5561,"und",0,232
"node","preface",0,5563,5563,"und",0,283
"node","preface",0,5564,5564,"und",0,491
"node","preface",0,5565,5565,"und",0,43
"node","preface",0,5566,5566,"und",0,43
"node","preface",0,5567,5567,"und",0,491
"node","preface",0,5568,5568,"und",0,983
"node","preface",0,5569,5569,"und",0,417
"node","preface",0,5570,5570,"und",0,398
"node","preface",0,5571,5571,"und",0,380
"node","preface",0,5572,5572,"und",0,339
"node","preface",0,5573,5573,"und",0,86
"node","preface",0,5574,5574,"und",0,492
"node","preface",0,5575,5575,"und",0,532
"node","preface",0,5576,5576,"und",0,140
"node","preface",0,5577,5577,"und",0,56
"node","preface",0,5578,5578,"und",0,434
"node","preface",0,5579,5579,"und",0,470
"node","preface",0,5581,5581,"und",0,5580
"node","preface",0,5582,5582,"und",0,418
"node","preface",0,5583,5583,"und",0,480
"node","preface",0,5584,5584,"und",0,391
"node","preface",0,5585,5585,"und",0,439
"node","preface",0,5587,5587,"und",0,5586
"node","preface",0,5588,5588,"und",0,389
"node","preface",0,5591,5591,"und",0,1507
"node","preface",0,5592,5592,"und",0,1488
"node","preface",0,5593,5593,"und",0,198
"node","preface",0,5594,5594,"und",0,198
"node","preface",0,5596,5596,"und",0,5595
"node","preface",0,5597,5597,"und",0,232
"node","preface",0,5599,5599,"und",0,5598
"node","preface",0,5600,5600,"und",0,355
"node","preface",0,5601,5601,"und",0,355
"node","preface",0,5602,5602,"und",0,690
"node","preface",0,5603,5603,"und",0,322
"node","preface",0,5604,5604,"und",0,56
"node","preface",0,5605,5605,"und",0,448
"node","preface",0,5606,5606,"und",0,924
"node","preface",0,5609,5609,"und",0,5608
"node","preface",0,5610,5610,"und",0,423
"node","preface",0,5611,5611,"und",0,323
"node","preface",0,5612,5612,"und",0,317
"node","preface",0,5613,5613,"und",0,32
"node","preface",0,5614,5614,"und",0,690
