"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pseudonym_value","field_pseudonym_format"
"node","person",0,140,140,"und",0,"Friedlaender, David,Friedlander, David",NULL
"node","person",0,333,333,"und",0,"Lindau, Baruch ben Judah Löb",NULL
