nid,vid,type,title,status,created,changed,uid,alignment_tid,bans,bans_format,bar_ilan_library_id,bar_ilan_library_id_format,berlin_library_id,berlin_library_id_format,bibliographical_citations,bibliographical_citations_format,book_availability_notes,book_availability_notes_format,book_not_available,book_structure_notes,book_structure_notes_format,book_studies,book_studies_format,book_type_general_notes,book_type_general_notes_format,british_library_id,british_library_id_format,catalog_numbers_notes,catalog_numbers_notes_format,censorship,censorship_format,contacts_official_agents,contacts_official_agents_format,contacts_other_people,contacts_other_people_format,contemporary_disputes,contemporary_disputes_format,contemporary_references,contemporary_references_format,contents_table_notes,contents_table_notes_format,contradict_new_edition,contradict_original,copy_of_book_used,copy_of_book_used_format,dedications,dedications_notes,dedications_notes_format,diagrams_book_pages,diagrams_book_pages_format,diagrams_notes,diagrams_notes_format,editions_notes,editions_notes_format,epilogue,epilogue_notes,epilogue_notes_format,examined_volume_number,expanded_in_edition,expanded_in_translations,fonts_tid,format_of_publication_date_tid,founders_notes,founders_notes_format,frankfurt_library_id,frankfurt_library_id_format,full_title,full_title_format,funders,gregorian_year,gregorian_year_pub_other,gregorian_year_pub_other_format,heb_year_publication_other,heb_year_publication_other_format,hebrew_year_of_publication,hebrew_year_of_publication_format,height,height_format,huji_library_id,huji_library_id_format,illustrations_diagrams,jewish_sources_quotes,jewish_sources_quotes_format,language_tid,language_of_footnotes_tid,languages_number_tid,last_known_edition,last_known_edition_format,later_references,later_references_format,link_to_digital_book_attributes,link_to_digital_book_title,link_to_digital_book_url,location_of_footnotes_tid,main_textual_models_tid,mention_general_notes,mention_general_notes_format,mentions_in_reviews,mentions_in_reviews_format,motto,motto_format,name_of_series_tid,new_edition_general_notes,new_edition_general_notes_format,new_edition_type_else_note,new_edition_type_else_note_format,new_edition_type_else_ref,new_edition_type_else_ref_format,new_edition_type_elsewhere_tid,new_edition_type_in_text_tid,new_edition_type_notes,new_edition_type_notes_format,new_edition_type_reference,new_edition_type_reference_format,new_york_library_id,new_york_library_id_format,non_jewish_sources_quotes,non_jewish_sources_quotes_format,occasional_words_languages_tid,old_author_addition_names,old_author_addition_names_format,old_name_in_book,old_name_in_book_format,old_text,old_text_author_target_id,old_text_author_in_book,old_text_author_in_book_format,old_text_format,original_author,original_author_else_refer,original_author_else_refer_format,original_author_elsewhere,original_author_elsewhere_format,original_author_format,original_author_other_name,original_author_other_name_format,original_language_tid,original_publication_place_tid,original_publication_year,original_publication_year_format,original_publisher_tid,original_sources_mention,original_sources_mention_format,original_text_author_target_id,original_text_name,original_text_name_format,original_title,original_title_else_refer,original_title_else_refer_format,original_title_elsewhere,original_title_elsewhere_format,original_title_format,original_type_tid,other_books_names,other_books_names_format,other_libraries,other_libraries_format,other_volumes,other_volumes_format,pages_number,pages_number_format,partial_publication_other,partial_publication_other_format,personal_address,personal_addresse_notes,personal_addresse_notes_format,planned_volumes,planned_volumes_format,preface,presented_as_original,presented_as_translation,presented_new_edition,presented_new_edition_note,presented_new_edition_note_format,presented_new_edition_refe,presented_new_edition_refe_format,presented_original_notes,presented_original_notes_format,presented_original_referen,presented_original_referen_format,presented_translatio_notes,presented_translatio_notes_format,presented_translation_refe,presented_translation_refe_format,preservation_references,preservation_references_format,price,price_format,printed_originally,printers,printers_notes,printers_notes_format,printing_press_notes,printing_press_notes_format,printing_press_references,printing_press_references_format,production_evidence,production_evidence_format,proofreaders,proofreaders_notes,proofreaders_notes_format,publication_place_tid,publication_place_other_tid,publication_year_in_book,publication_year_in_book_format,publication_year_in_other,publication_year_in_other_format,publisher_name_tid,rabbinical_appro_notes,rabbinical_appro_notes_format,rabbinical_approbations,recommendations,recommendations_notes,recommendations_notes_format,references_for_editions,references_for_editions_format,references_notes,references_notes_format,secondary_sources,secondary_sources_format,secondary_textual_models_tid,sellers,sellers_notes,sellers_notes_format,series_part,sources_exist,sources_list,sources_list_format,sources_not_mentioned,sources_not_mentioned_list,sources_not_mentioned_list_format,sources_not_mentioned_ref,sources_not_mentioned_ref_format,sources_references,sources_references_format,structure_preface_notes,structure_preface_notes_format,subscribers,subscribers_notes,subscribers_notes_format,subscription_appeal,subscription_appeal_notes,subscription_appeal_notes_format,table_of_conten,target_audience_tid,target_audience_notes,target_audience_notes_format,target_general_notes,target_general_notes_format,tel_aviv_library_id,tel_aviv_library_id_format,textual_models_notes,textual_models_notes_format,thanks,thanks_notes,thanks_notes_format,title_in_latin_characters,title_in_latin_characters_format,topic_tid,topics_notes,topics_notes_format,total_number_of_editions,total_number_of_editions_format,translation_notes,translation_notes_format,translation_type,typography_tid,volumes_notes,volumes_notes_format,volumes_published_number,volumes_published_number_format,width,width_format
1952,1952,book,Abhandlung von der Freiheit des Menschen,1,1428490158,1428490158,1,,,,,,,,,,,,,"Höhe und Breite konnten nicht ermittelt werden, da das Buch nur als Microfiche vorliegt.",filtered_html,,,,,,,,,,,,,,,,,,,,,,,Bayerische Staatsbibliothek: Ph.pr. 20 t; Fiche Ph.pr. 20 t,filtered_html,1.0,"Ihro Excellenz dem Hochgebohrnen Freiherrn Herrn Peter Friedrich von Hohenthal [1735-1819], Kurfürstl. Sächsischen Hochbetrauten wirklichen Geheimen Rath, und Hochverordneten Evangelischen Direktorial-Gesandten bey der Reichsversammlung zu Regensburg.",filtered_html,,,,,,,,,,,,,,409.0,,,,,Abhandlung von der Freiheit des Menschen,,0.0,1789.0,,,,,תקמט,,,,,,0.0,,,,,410.0,1789,,,,a:0:{},,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10039703-9,,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6], 80",,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,1789,,,,411.0,,,0.0,0.0,,,"in: Alexander: Kleine Schriften, S. 1-80.",filtered_html,,,,,,0.0,,,,1.0,Leibniz: Theodicee.,filtered_html,,,,,,11,filtered_html,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,2,,,,,,,,,,,
1953,1953,book,Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL: JNUL: R8 = 35 V4487,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,,,Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien,,0.0,,,,,,,,18.4,,R 8= 35 V 4487,,0.0,,,415.0,,417.0,,,,,a:0:{},,http://reader.digitale-sammlungen.de/resolve/display/bsb10570202.html,,336.0,,,,,,,,,,,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,0.0,,,,,0.0,,1.0,,,,,,,,,,"תרגום של מסמכים על אמנציפצית היהודים בהולנד
Batavsche Republiek",filtered_html,רשום בדף השער,filtered_html,,,,,,0.0,,,,,,,,,0.0,,,176.0,,1797,,,,419.0,,,0.0,0.0,,,,,"AK: UB Rostock: CIc-1160.2

Katalog Uni Kiel

Kopie bereits erhalten, gescannt auf CD",filtered_html,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,420.0,,,,,,,,,0.0,,,,,421.0,,,,,,,,423.0,,,,,10.1,
1954,1954,book,Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend,1,1428490158,1428490158,1,412.0,,,,,Ez 6310<a>,,,,,,,,,,,,,,,,,,,,,,,,,"NADB, 1793 , 3. Bd., 1. St. , S. 154-158.",filtered_html,,,,,SBBPK: Ez 6310<a>,filtered_html,0.0,,,,,,,,,0.0,,,1.0,,,413.0,409.0,,,urn:nbn:de:hebis:30-180012126007,,Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend,,0.0,1793.0,,,,,תקנד,,20.5,,2032692,,0.0,,,415.0,415.0,410.0,,,"Ritter 1861, S. 74-92.",filtered_html,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180012126007,424.0,359.0,,,,,"Es wird eine Zeit kommen, da man in Europa nicht mehr fragen wird, wer Jude oder Christ sey; denn auch der Jude wird nach Europäischen Gesetzen leben und zum Besten des Staates beytragen. Nur eine barbarische Verfassung hat ihn daran hindern, oder seine Fähigkeit schädlich machen mögen.
Herder.

L'homme [lui-même] est une quantité indéterminable. Il est (si j'ose me servir de l'expression) une matiere ductile par la filiere de l'habitude. Il prend tous les plis, toutes les formes qu'on veut, sans se détruire; on donne par l'habitude à ses forces, à sa nature, à son être primitif une extension qui paraissait impossible d'abord; & ce qui est plus singulier, aussi-tôt qu'il s'y est fait, il trouve que cela lui est tout naturel, que cela a existé de tout temps & ne pouvait être autrement, que c'est son état physique. Il est tout à son aise dans cet état, où par une suite de siècles on l'a mis, & l'ouvrage d'une longue succession de philosophes est oublié. Il ignore le bienfaiteur & le bienfait, comme il ignore & le Méchant & le Mal qu'il lui a causé, & qu'il croit bonnement être de sa nature.

Dialogues sur le commerce des bleds [par l'abbé Galiani, revus par Grimm et Diderot] pag. 229.",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188, [2]",,,,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,"Ritter 1861, S. 74-88.",filtered_html,0.0,,,14.0,,1793,,,,425.0,,,0.0,0.0,,,,,,,"Ritter 1861, S. 74-92.",filtered_html,375.0,0.0,,,,1.0,"Herder, Johann Gottfried: Ideen zur Philosophie der Geschichte

Michaelis, Johann David: Orientalische Bibliothek

Dohm, Christian Wilhelm von, כריסטיאן וילהלם פון דוהם: Über die bürgerliche Verbesserung der Juden

Brandes, Ernst: Ueber einige bisherige Folgen der FR",filtered_html,,,,,,,,Einleitung,filtered_html,0.0,,,,,,0.0,426.0,,,,,,,,,0.0,,,,,421.0,,,1,,,,,429.0,,,1,,11.3,
1955,1955,book,An das Breslauer Publikum,1,1428490158,1428490158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An das Breslauer Publikum: ein Wort des Friedens zur Beseitigung des über die von Herrn Pastor Hermes am 2. Weihnachtsfeiertage gehaltene Predigt ausgebrochenen Streits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,1804,,,,,,,,,,,"AK: Eichstädt, Nr. 408. nicht gefunden, auch nicht von Eichstädt. Autor gibt er mit P S an",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1956,book,An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden,1,1428490158,1428490158,1,,,,,,Jf 7655 MF,,,,,,,,,"Krochmalnik, Daniel: Scheintod und Emanzipation. Der Beerdigungsstreit in seinem historischen Kontext, in: Trumah, Bd. 6 (1997), S. 107–149; Davies, Martin: Identity or History, Detroit 1995, S. 200-205.",filtered_html,,,,,,,,,,,,,,,"Rezension: Herz, über die frühe Beerdigung der Juden, in: ADB 1789 , 87. Bd., 1. St., S. 144-145",filtered_html,,,,,,,,,,,,,,Einzeldruck: Beilage zum Hameassef,filtered_html,0.0,,,,,,413.0,409.0,,,,,An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden,,,1787.0,,,,,,,,,FI 668 (NEGATIVE),,0.0,,,415.0,415.0,410.0,1788,,,,,,,424.0,359.0,,,"Biographie des Herrn Marcus Herz. — In: Sulamith, Jg 3 (1811) Nr 2, S. 77-97, hier S. 90-91.",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitte der Herausgeber des Hameassef um Stellungnahme zum Problem der frühen Beerdigung an Herz, in: Hammeassef, 3. Jg, S. 203",filtered_html,,,,14.0,,1787,,,,430.0,,,,,,,,,,,,,380.0,,,,,1.0,"Bruhier d’Ablaincourt, Jacques: Abhandlung von der Ungewißheit der Kennzeichen.

Brinckmann, Johann Peter: Beweis der Möglichkeit, daß einige Leute ...

המאסף",filtered_html,,,,,,,,,,,,,,,,0.0,426.0,,,,,,,,,,,,,,431.0,,,2,,,,,429.0,,,,,,
1958,1958,book,Anfangsgründe der Newtonischen Philosophie,1,1428490158,1428490158,1,412.0,,,,,Mv 8283,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vorrede I-XVI

Einleitung 3-32

1. Buch: Von der Bewegung der Körper überhaupt

1. Kapitel: Von des Gesetzen der Bewegung 33-58

2. Kapitel: Andere Beweise für die Gesetze der Bewegung 59-140

3. Kapitel: Von den Centripedalkräften 140-168

4. Kapitel: Ueber den Widerstand der Flüssigkeiten 169-190

Anmerkungen 191-224",filtered_html,,,SBBPK: Mv 8283,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,"MPQ 110, F. 8639",,Anfangsgründe der Newtonischen Philosophie von Dr. Pemberton. Aus dem Englischen mit Anmerkungen und einer Vorrede von Salomon Maimon. Erster Theil mit vier Kupfertafeln,,0.0,,,,,,,,14,,,,0.0,,,415.0,415.0,410.0,,,,,,,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,418.0,,,,,,,,,,Dr. Pemberton,KVK,filtered_html,"Pemberton, Henry",,,,,,148.0,1728,,,,,1957.0,A view of Sir Isaac Newton's Philosophy,,,KVK,filtered_html,A view of Sir Isaac Newton's Philosophy,,,391.0,,,,,,,"XVI, 224",,,,0.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,14.0,,1793,,,,433.0,,,0.0,0.0,,,,,"Neudruck: Maimon, GW IV, 531-580",filtered_html,,,377.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,426.0,,,,,,,,,0.0,,,,,434.0,,,,,,,"translation of contemporary text, or of adjacent period",429.0,,,1,,11,
1959,1959,book,Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עותק בתל אביב - צילום,filtered_html,0.0,,,,,,,,,0.0,,,,,,414.0,409.0,,,,,"Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London: in which some of his hasty mistakes are rectified, with a word to P. Colquhoun, Esq. on the subject of the Jews as treated in his Police of the Metropolis, with an Introductory Letter setting in a conspicuous view some of the Jewish Bye Laws as observed at present, and an exact copy of the bill now before Parliament for bettering the state of the indigent Jews. By L. Alexander",,0.0,,,,,,,,,,,,0.0,,,436.0,,410.0,,,,,,,,,,,,,,"Who steals my purse, steals trash; 'tis something, nothing;/ Twas mine; 'tis his, and has been slave to thousands;/ But he that filches from me my good name,/ Robs me of that which not enriches him,/ And makes me poor indeed.
Shakspeare [sic]",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44, 8 ע' כולל שער",,,,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,148.0,,1802,,,,437.0,,,0.0,0.0,,,,,"נטלי:

IUL

ספריית תל אביב: 933.5(42) ALE

הוחלט: שייך. להעביר מספרית ההשכלה לספריה המשותפת.

קשור ל: Oven, Letters",filtered_html,,,359.0,1.0,"בעמוד השער:

Printed for and by the AUTHOR and sold by him at No. 40, Whitechapel Road",filtered_html,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,420.0,,,,,933.5(42) ALE,,,,0.0,,,,,421.0,,,,,,,,429.0,,,,,,
1960,1960,book,Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift,1,1428490158,1428490158,1,412.0,,,,,Ez 740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UB Kile: Ka 9256,filtered_html,1.0,"Seiner hochgräflichen Excellenz dem Hochgebohrnen Herrn Carl George Heinrich Graf von Hoym. Königl. Preußischen wirklichen geheimen Staats-, Kriegs- und dirigirenden Minister, Chef Präsidenten beider Schlesischen Kriegs- und Domainen-Kammern, auch Ritter des großen schwarzen Adler-Ordens: Erbherrn, der Herrschaften Dyhrenfurth, Wahren, Simmel, Peterwitz, Gloschkau etc. etc. Meinem gnädigen und höchst gebiethenden Herrn!",filtered_html,,,,,,,0.0,,,,,,413.0,409.0,,,,,Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift: Ueber die physische und moralische Verfassung der heutigen Juden,,0.0,1793.0,,,,,תקנד,,18,,2011028,,0.0,,,415.0,415.0,410.0,,,,,,,,424.0,359.0,,,"Hirschel, Moses: Apologie der Menschenrechte. Oder philosophischkritische Beleuchtung der Schrift: über die füsische und moralische Verfassung der heutigen Juden, in: Neue allgemeine deutsche Bibliothek, 1796, 21. Bd., 2.St. , S. 338-339",filtered_html,"La superstition met le monde entier en flammes; la philosophie les eteint.
Dictionnaire philosophique, par Voltaire. Article Superstition.",filtered_html,,,,,,,,,,,,,,,,"Voltaire: Dictionnaire philosophique.

Diderot / d'Alemberts: Encyclopédie ou Dictionnaire raisonné des sciences.

Montesquieu: Esprit des Lois.

Basnage: Histoire des Juifs.

Mendelssohn, Moses: Jerusalem.

Aristoteles: Nikomachische Ethik.

Spinoza: Tractatus theologico-politicus.

Grattenauer, Karl W. Fr.: Ueber die physische und moralische Verfassung.",filtered_html,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"XXXVI, 220",,,,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,19 Groschen?,,,0.0,,,,,,,,,0.0,,,291.0,,1793,,,,440.0,,,0.0,0.0,,,,,Biographischer Hintergrund unerforscht,filtered_html,"Hamberger, Gelehrte Teutschland, vol. III, p. 344; vol. XI, p. 358.",filtered_html,377.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,426.0,"""aufgeklärtes ... christliches Publikum"", S. XXIX",filtered_html,,,,,,,0.0,,,,,443.0,,,1,,,,,429.0,UB Kiel: Ka 9256,filtered_html,,,11,
1961,1961,book,Apologie des juifs en réponse à la question,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,ישנו גם עותק דיגיטלי באתר של הספרייה הלאומית.,filtered_html,"Avec Approbation & Privilége du Roi, & de la Société Royale de Metz",filtered_html,,,,,,,,,,,,,"עותק בספריית מהלמן, אונ' תל אביב (עותק צילום - על כן לא נרשמו מידות הספר: מהדורת צילום: 1968 פריס)",filtered_html,,,,,,,,מהדורת צילום: פריס 1968.,filtered_html,,,,,,,414.0,409.0,,,,,"Apologie des juifs en réponse à la question: Est-il des moyens de rendre les Juifs plus heureux & plus utiles en France? Ouvrage couronné par la Société Royale des Arts & des Sciences de Metz. Par M. Zalkind-Hourwitz, Juif Polonois",,,,,,,,,,,,R 8= 35 V 4470(8),,,,,416.0,416.0,410.0,,,,,,,,424.0,,,,,,Veniam pro laude peto. Ovid.,filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 עמ', [4], כולל עמ' שער",,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,36 sols,,,,,,נוסח כתיבת התאריך: M. DCC. LXXIX.,filtered_html,,,,,,,,192.0,,1789,,,,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"בהקדמתו מודה זלקינד-הורביץ לאקדמיה של מץ על שהעניקה לו, יחד עם גרגואר ותיירי, פרס על תשובתו לשאלה שהציגה.",filtered_html,,,,,,,,438.0,,,קהל יעד: קהל צרפתי. זו היתה תשובתו לשאלה שהציגה האקדמיה של מץ.,filtered_html,933.5(44) HOU - Mehlman,,,,,,,,,421.0,"עמ' 73: Supplement. מציין כי לדעתו כל העיסוק בשאלה שהציגה האקדמיה מיותר. ""למה צריך כל כך הרבה דיבורים כדי להוכיח שהיהודי הוא אדם, ושאין זה צודק להעניש אותו מאז לידתו על vices אמיתיים או suposees qu'on reproche a d'autre homes avec lesquels il n'a rien de commun que la croyance?",,,,,,,429.0,,,,,,
1962,1962,book,Appel à la justice des nations et des rois,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,"העבודה נעשה על עותק דיגיטלי, לכן חסרות מידות הספר.",filtered_html,,,,,,,,,,,,,"לטענת המחבר, רעיון החיבור נולד בעת מפגש עם חבורת ידידים נאורים, שתמכו כמוהו בחופש אמיתי, פטריוטים מושבעים, אויבי דעות קדומות. לנוכח הנסיבות החדשות בצרפת באותה תקופה, ערב הקונגרס שתוכנן בלינוויל, עודדוהו ידידיו לכתוב חיבור על נושא שזכה כבר בעבר להתייחסות לא מבוטלת.",filtered_html,,,,,,,,,עותק דיגיטלי באתר של ספריית פרנקפורט.,filtered_html,0.0,,,,,,,,,0.0,,,,,,414.0,409.0,,,urn:nbn:de:hebis:30-180011459005,,"Appel à la justice des nations et des rois: ou Adresse d'un Citoyen français au Congrès qui devait avoir lieu à Lunéville, au nom de tous les habitans [sic] de l'Europe que professent la réligion juive par Michel Berr, membr. de la societ. de l'emulat. de Nancy",,0.0,,,,,,,,,,S 57 B 374,,,,,416.0,416.0,410.0,,,,,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011459005,424.0,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 S.,,,,1.0,"לאחר דברי ההקדמה, ישנה פניה בת שני עמודים אל ""האזרח גרגואר"".",filtered_html,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,245.0,,1801,,,,447.0,,,0.0,0.0,,,,,NG: IUL S 57 B 374,filtered_html,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,426.0,,,,,,,קריאה להגנת זכויות היהודים.,filtered_html,0.0,,,,,421.0,,,,,,,,429.0,,,,,,
