menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,209,193,admin/config/content/diff/entities,admin/config/content/diff/entities,Entities,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:16:""Entity settings."";}}'",system,-1,0,0,0,0,5,0,1,7,25,193,209,0,0,0,0,0
management,210,193,admin/config/content/diff/fields,admin/config/content/diff/fields,Fields,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""Field support and settings overview."";}}'",system,-1,0,0,0,0,5,0,1,7,25,193,210,0,0,0,0,0
management,211,189,admin/structure/taxonomy/%/list,admin/structure/taxonomy/%/list,List,b'a:0:{}',system,-1,0,0,0,-20,5,0,1,16,161,189,211,0,0,0,0,0
management,212,202,admin/config/search/path/list,admin/config/search/path/list,List,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,7,43,202,212,0,0,0,0,0
management,213,195,admin/config/media/image-styles/list,admin/config/media/image-styles/list,List,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:42:""List the current image styles on the site."";}}'",system,-1,0,0,0,1,5,0,1,7,34,195,213,0,0,0,0,0
management,214,193,admin/config/content/diff/settings,admin/config/content/diff/settings,Settings,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,7,25,193,214,0,0,0,0,0
navigation,215,191,node/%/revisions/view/latest,node/%/revisions/view/latest,Show latest difference,b'a:0:{}',system,-1,0,0,0,0,4,0,4,42,191,215,0,0,0,0,0,0
management,216,159,admin/structure/features/%/view,admin/structure/features/%/view,View,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:32:""Display components of a feature."";}}'",system,-1,0,0,0,-10,4,0,1,16,159,216,0,0,0,0,0,0
management,217,159,admin/structure/features/%/recreate,admin/structure/features/%/recreate,Recreate,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:29:""Recreate an existing feature."";}}'",system,-1,0,0,0,11,4,0,1,16,159,217,0,0,0,0,0,0
management,218,159,admin/structure/features/%/diff,admin/structure/features/%/diff,Review overrides,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""Compare default and current feature."";}}'",system,-1,0,0,0,0,4,0,1,16,159,218,0,0,0,0,0,0
management,219,208,admin/config/user-interface/shortcut/%/add-link,admin/config/user-interface/shortcut/%/add-link,Add shortcut,b'a:0:{}',system,-1,0,0,0,0,6,0,1,7,50,200,208,219,0,0,0,0
management,220,202,admin/config/search/path/delete/%,admin/config/search/path/delete/%,Delete alias,b'a:0:{}',system,0,0,0,0,0,5,0,1,7,43,202,220,0,0,0,0,0
management,221,208,admin/config/user-interface/shortcut/%/delete,admin/config/user-interface/shortcut/%/delete,Delete shortcut set,b'a:0:{}',system,0,0,0,0,0,6,0,1,7,50,200,208,221,0,0,0,0
management,222,202,admin/config/search/path/edit/%,admin/config/search/path/edit/%,Edit alias,b'a:0:{}',system,0,0,0,0,0,5,0,1,7,43,202,222,0,0,0,0,0
management,223,208,admin/config/user-interface/shortcut/%/edit,admin/config/user-interface/shortcut/%/edit,Edit set name,b'a:0:{}',system,-1,0,0,0,10,6,0,1,7,50,200,208,223,0,0,0,0
