tid,vid,name,description,weight,format
590,17,boys,,0,
499,17,children,,0,
540,17,community authorities,,0,
426,17,general - unspecified,,0,
420,17,general Jewish,,0,
438,17,general non-Jewish,,0,
604,17,girls,,0,
522,17,maskilim,,0,
523,17,men,,0,
427,17,political authorities,,0,
501,17,teachers,,0,
475,17,Torah scholars,,0,
613,17,women,,0,
500,17,young adults,,0,
