tid,vid,name,description,weight,format
413,10,Gothic,,0,
538,10,handwritten,,0,
414,10,Latin,,0,
456,10,Rashi font,,0,
454,10,square with no punctuation,,0,
455,10,square with punctuation,,0,
482,10,Tsena u'rena font,,0,
