nid,vid,type,title,status,created,changed,uid,book_target_id,edition_changes,edition_changes_format,edition_city_tid,edition_references,edition_references_format,edition_year,edition_year_format
2551,2551,edition,בית הספר א - 1898,1,1428490248,1428490248,1,2107,(תרגום יעקב בן ישראל פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות),,276.0,,,1898,
2552,2552,edition,"בית הספר ב - תקס""ו",1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,"תקס""ו",
2553,2553,edition,"בית הספר ב - תקס""ט",1,1428490248,1428490248,1,2108,(א'+ב'),,273.0,IUL,,"תקס""ט",
2554,2554,edition,"בית הספר ב - תקע""א",1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,"תקע""א",
2555,2555,edition,בית הספר ב - 1816,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1816,
2556,2556,edition,בית הספר ב - 1820,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1820,
2557,2557,edition,בית הספר ב - 1827,1,1428490248,1428490248,1,2108,"(חלק א'+ב', נדפס פעם שביעית)",,273.0,IUL,,1827,
2558,2558,edition,בית הספר ב - 1836,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1836,
2559,2559,edition,בית הספר ב - 1842,1,1428490248,1428490248,1,2108,"(א'+ב', עברית וגרמנית. תרגום: מענדל בר""י שטערן)",,273.0,IUL,,1842,
2560,2560,edition,בית הספר ב - 1849,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1849,
2561,2561,edition,בית הספר ב - 1851,1,1428490248,1428490248,1,2108,[שכתוב והרחבה ישראל (איזידאר) בוש. כולל חלק מלימודי המישרים],,276.0,IUL,,1851,
2562,2562,edition,בית הספר ב - 1874,1,1428490248,1428490248,1,2108,"(א'+ב', עם תרגום חלקי לגרמנית באותיות פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות)",,140.0,IUL,,1874,
2563,2563,edition,בית הספר ב - 1883,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,140.0,IUL,,1883,
2564,2564,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקמ""ו",1,1428490248,1428490248,1,2116,,,14.0,בית עקד ספרים,,"תקמ""ו",
2565,2565,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקנ""ו",1,1428490248,1428490248,1,2116,,,35.0,בית עקד ספרים,,"תקנ""ו",
2566,2566,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תק""ס",1,1428490248,1428490248,1,2116,,,,בית עקד ספרים,,"תק""ס",
2567,2567,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקס""ז",1,1428490248,1428490248,1,2116,,,,בית עקד ספרים,,"תקס""ז",
2568,2568,edition,"דברי שלום ואמת א - תקמ""ב",1,1428490248,1428490248,1,2125,,,14.0,,,"תקמ""ב",
2569,2569,edition,"דברי שלום ואמת א - תקפ""ז",1,1428490248,1428490248,1,2125,במהדורת וינה צורף גם מאמר חקור דין.,,273.0,,,"תקפ""ז",
2570,2570,edition,"דברי שלום ואמת א - תרמ""ו",1,1428490248,1428490248,1,2125,מהדורת ורשה כוללת את תולדות המחבר.,,276.0,בית עקד ספרים,,"תרמ""ו",
2571,2571,edition,"דברי שלום ואמת ב - תקנ""ד",1,1428490248,1428490248,1,2126,,,14.0,,,"תקנ""ד",
2572,2572,edition,"דברי שלום ואמת ג - תקמ""ד",1,1428490248,1428490248,1,2127,,,14.0,,,"תקמ""ד",
2573,2573,edition,"דברי שלום ואמת ג - תקפ""ז",1,1428490248,1428490248,1,2127,,,273.0,,,"תקפ""ז",
2574,2574,edition,"דברי שלום ואמת ג - תרמ""ו",1,1428490248,1428490248,1,2127,,,276.0,,,"תרמ""ו",
2575,2575,edition,"דברי שלום ואמת ד - תקמ""ה",1,1428490248,1428490248,1,2128,,,14.0,בית עקד ספרים,,"תקמ""ה",
2576,2576,edition,"דברי שלום ואמת ד - תקפ""ז",1,1428490248,1428490248,1,2128,,,273.0,,,"תקפ""ז",
2577,2577,edition,"דברי שלום ואמת ד - תרמ""ו",1,1428490248,1428490248,1,2128,,,276.0,,,"תרמ""ו",
2578,2578,edition,זאת חנוכת הבית - תקנז,1,1428490248,1428490248,1,2154,,,3.0,וינוגרד,,תקנז,
2579,2579,edition,"חכמת יהושע בן סירא - תקס""ז",1,1428490248,1428490248,1,2165,בין המהדורות הנוספות של ספר בן סירא,,273.0,,,"תקס""ז",
2580,2580,edition,"חלקת מחקק - תק""ע",1,1428490248,1428490248,1,2166,,,54.0,וינוגרד,,"תק""ע",
2581,2581,edition,"יונה - תקמ""ח",1,1428490248,1428490248,1,2169,,,14.0,וינוגרד,,"תקמ""ח",
2582,2582,edition,"ילדות ובחרות או נתיבות החנוך והמוסר - תקמ""ו",1,1428490248,1428490248,1,2171,,,14.0,IUL,,"תקמ""ו",
2583,2583,edition,כימיאה אדער שיידיקונסט א - 1795,1,1428490248,1428490248,1,2175,,,14.0,IUL,,1795,
2584,2584,edition,"כתר מלכות לרזב""ד - תקנ""ו",1,1428490248,1428490248,1,2177,,,140.0,,,"תקנ""ו",
2585,2585,edition,"כתר מלכות לרזב""ד - ",1,1428490248,1428490248,1,2177,שמואל ויודא בון,,1.0,,,,
2586,2586,edition,"להט החרב - תרכ""ז",1,1428490248,1428490248,1,2178,,,274.0,,,"תרכ""ז",
2587,2587,edition,לוח הפעלים - 1796,1,1428490248,1428490248,1,2179,,,28.0,IUL,,1796,
2588,2588,edition,לוח הפעלים - 1826,1,1428490248,1428490248,1,2179,verbessert und mit einer Einleitung versehen von R.J. Fürstenthal,,28.0,IUL,,1826,
2589,2589,edition,לוח הפעלים - 1837,1,1428490248,1428490248,1,2179,,,110.0,IUL,,1837,
2590,2590,edition,לוח הפעלים - 1871,1,1428490248,1428490248,1,2179,,,273.0,IUL,,1871,
2591,2591,edition,לוח הפעלים - 1874,1,1428490248,1428490248,1,2179,,,274.0,IUL,,1874,
2592,2592,edition,לוח הפעלים - 1879,1,1428490248,1428490248,1,2179,,,274.0,IUL,,1879,
2593,2593,edition,לוח הפעלים - 1883,1,1428490248,1428490248,1,2179,בתוך: Declinationstabellen der hebräischen Zeitwörter,,273.0,IUL,,1883,
2594,2594,edition,לוח הפעלים - 1884,1,1428490248,1428490248,1,2179,,,274.0,IUL,,1884,
2595,2595,edition,לוח הפעלים - 1908/9,1,1428490248,1428490248,1,2179,,,274.0,IUL,,1908/9,
2596,2596,edition,לוח הפעלים - 1912,1,1428490248,1428490248,1,2179,,,274.0,IUL,,1912,
2597,2597,edition,לוח הפעלים - 1925,1,1428490248,1428490248,1,2179,"יצא עם: מסלול לשון עבר, בגרמנית",,273.0,IUL,,1925,
2598,2598,edition,מאמר אמרה צרופה - תקנז,1,1428490248,1428490248,1,2191,,,3.0,וינוגרד,,תקנז,
2599,2599,edition,מאמר התורה והחכמה - 1771,1,1428490248,1428490248,1,2192,,,148.0,IUL,,1771,
2600,2600,edition,מאמר מגיד חדשות - תקמט,1,1428490248,1428490248,1,2194,,,14.0,וינוגרד,,תקמט,
2601,2601,edition,מאמר מגיד חדשות - תקע,1,1428490248,1428490248,1,2194,ראו הערה,,140.0,וינוגרד,,תקע,
2602,2602,edition,מאמר מגיד חדשות - תקעג,1,1428490248,1428490248,1,2194,,,123.0,וינוגרד,,תקעג,
2603,2603,edition,מודע לבני בינה oder Kinderfreund und Lehrer 1 - 1808,1,1428490248,1428490248,1,2209,,,139.0,וינוגרד,,1808,
2604,2604,edition,"מודע לבני בינה oder Kinderfreund und Lehrer 1 - תקע""ז",1,1428490248,1428490248,1,2209,,,3.0,וינוגרד,,"תקע""ז",
2605,2605,edition,מודע לבני בינה oder Kinderfreund und Lehrer 1 - 1823,1,1428490248,1428490248,1,2209,,,139.0,וינוגרד,,1823,
2606,2606,edition,מודע לבני בינה oder Kinderfreund und Lehrer 2 - 1810,1,1428490248,1428490248,1,2210,,,54.0,וינוגרד,,1810,
