nid,vid,type,title,status,created,changed,uid,mentionee_target_id,mentionee_city_tid,mentionee_description_tid
2874,2874,mention,"Euchel, Demoiselle - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,120,121.0,803.0
2875,2875,mention,"Friedländer, Adelaide - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,137,121.0,803.0
2876,2876,mention,"Friedeburg, Madame Herz - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,135,121.0,803.0
2877,2877,mention,"Friedländer, Abraham - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,136,14.0,803.0
2878,2878,mention,"Friedländer, Bernhard - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,139,121.0,803.0
2879,2879,mention,"Friedländer, Hinde - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,145,121.0,803.0
2880,2880,mention,"Friedländer, Goldea - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,141,121.0,803.0
2881,2881,mention,"Friedländer, Pessel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,150,121.0,803.0
2882,2882,mention,"Friedländer, Hanna - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,143,121.0,803.0
2883,2883,mention,"Friedländer, Rebekka Meyer - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,151,121.0,803.0
2884,2884,mention,"Friedländer, Rebekka Wulff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,152,121.0,803.0
2885,2885,mention,"Friedländer, Recha Wulff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,153,121.0,803.0
2886,2886,mention,"Friedländer, Angelika - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,138,121.0,803.0
2887,2887,mention,"Friedländer, Meyer - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,148,121.0,803.0
2888,2888,mention,"Friedländer, Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,158,121.0,803.0
2889,2889,mention,"Friedländer, Wulff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,163,121.0,803.0
2890,2890,mention,"Friedländer, Wolf Bernhard - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,162,121.0,803.0
2891,2891,mention,"Friedländer, Samuel Wulff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,155,121.0,803.0
2892,2892,mention,"Friedländer, Simon Bendix - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,159,121.0,803.0
2893,2893,mention,"Friedländer, Heimann Meyer - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,144,121.0,803.0
2894,2894,mention,"Friedländer, Hirsch Elias - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,146,121.0,803.0
2895,2895,mention,"Friedländer, Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Schottland",1,1428490257,1428490257,1,154,228.0,803.0
2896,2896,mention,"Friedländer, Veitel Bernhard - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,160,121.0,803.0
2897,2897,mention,Moses Fürst - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen,1,1428490257,1428490257,1,372,49.0,803.0
2898,2898,mention,Meyer Gabriel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,366,121.0,803.0
2899,2899,mention,"Gardemain (Bankier), Daniel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,175,14.0,803.0
2900,2900,mention,Gesellschaft der hebräischen Litteraturfreunde - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,179,121.0,803.0
2901,2901,mention,"Getzel, Jacob - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,181,49.0,803.0
2902,2902,mention,"Getzel, Meyer - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,182,49.0,803.0
2903,2903,mention,"Goldschmidt, Caroline - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,185,121.0,803.0
2904,2904,mention,"Goldschmidt, Moses - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,186,121.0,803.0
2905,2905,mention,"Graff, Jacob - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,188,121.0,803.0
2906,2906,mention,"Gregorovius (Prof.), J.A. - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,190,121.0,803.0
2907,2907,mention,"Gugenheim, Joseph - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,191,49.0,803.0
2908,2908,mention,"Gunzenhausen, Anna - Gebete der hochdeutschen und polnischen Juden - Subscriber - Prague",1,1428490257,1428490257,1,195,204.0,803.0
2909,2909,mention,"Gurauer, Jacob Moses - Gebete der hochdeutschen und polnischen Juden - Subscriber - Lissa",1,1428490257,1428490257,1,196,146.0,803.0
2910,2910,mention,Lehmann Haas - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main,1,1428490257,1428490257,1,308,72.0,803.0
2911,2911,mention,"Halle, Joel Samuel von - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,197,14.0,803.0
2912,2912,mention,Löb Hamm - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover,1,1428490257,1428490257,1,335,91.0,803.0
2913,2913,mention,Hartknoch (Buchhändler) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Riga,1,1428490257,1428490257,1,200,217.0,803.0
2914,2914,mention,"Heilboth, Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,202,49.0,803.0
2915,2915,mention,"Hermes, Johann Georg Christoph Friedrich - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,211,121.0,803.0
2916,2916,mention,Hirschberg (Dr.) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,223,121.0,803.0
2917,2917,mention,Hirschberg - Gebete der hochdeutschen und polnischen Juden - Subscriber - Driesen,1,1428490257,1428490257,1,222,61.0,803.0
2918,2918,mention,"Hirsch, Jakob - Gebete der hochdeutschen und polnischen Juden - Subscriber - ",1,1428490257,1428490257,1,220,,803.0
2919,2919,mention,Abraham Isaak - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen,1,1428490257,1428490257,1,7,49.0,803.0
2920,2920,mention,Boas Isaak - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,62,121.0,803.0
2922,2922,mention,Marcus Issak - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,2921,121.0,803.0
2923,2923,mention,Marcus Isaak - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin,1,1428490257,1428490257,1,350,14.0,803.0
2924,2924,mention,"Itzig, Elias Daniel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,249,14.0,803.0
2925,2925,mention,"Itzig, Jakob Daniel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,253,14.0,803.0
2926,2926,mention,"Jordan, Brüder - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,271,121.0,803.0
2927,2927,mention,Meyer Joseph - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,367,121.0,803.0
2928,2928,mention,Simon Joseph - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,446,121.0,803.0
2929,2929,mention,"Keyserling, Heinrich Christian (Reichsgraf) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,294,121.0,803.0
2930,2930,mention,"Klatzki, Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Vilnius",1,1428490257,1428490257,1,295,274.0,803.0
2931,2931,mention,"Kleist-Keyserling (Baron), Louis - Gebete der hochdeutschen und polnischen Juden - Subscriber - Kurland",1,1428490257,1428490257,1,296,131.0,803.0
2932,2932,mention,"Korff (Graf), von - Gebete der hochdeutschen und polnischen Juden - Subscriber - Kurland",1,1428490257,1428490257,1,301,131.0,803.0
2933,2933,mention,Krause - Gebete der hochdeutschen und polnischen Juden - Subscriber - Jena,1,1428490257,1428490257,1,302,103.0,803.0
2934,2934,mention,Lachmann (Dr.) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Kurland,1,1428490257,1428490257,1,304,131.0,803.0
2935,2935,mention,Marcus Salomon Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,351,121.0,803.0
2936,2936,mention,David Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,90,121.0,803.0
2937,2937,mention,Moses Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam,1,1428490257,1428490257,1,373,202.0,803.0
2938,2938,mention,Israel Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam,1,1428490257,1428490257,1,242,202.0,803.0
2939,2939,mention,"Levy, Sara - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,329,14.0,803.0
2940,2940,mention,"Levy, Moses Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,326,14.0,803.0
2941,2941,mention,"Levy, Samuel Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,328,14.0,803.0
2942,2942,mention,"Levy, Samuel Isaak - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,327,121.0,803.0
2943,2943,mention,"Lipmann, Nathan - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam",1,1428490257,1428490257,1,334,202.0,803.0
2944,2944,mention,"Löwe, Joel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,338,14.0,803.0
2945,2945,mention,"Lüpschütz, Selig - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,346,121.0,803.0
2946,2946,mention,Marx (Dr.) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover,1,1428490257,1428490257,1,357,91.0,803.0
2947,2947,mention,Salomon Marcus - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam,1,1428490257,1428490257,1,414,202.0,803.0
2948,2948,mention,Hirsch Markus - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin,1,1428490257,1428490257,1,216,14.0,803.0
2949,2949,mention,Levin Magnus - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen,1,1428490257,1428490257,1,320,49.0,803.0
2950,2950,mention,Meyer Magnus - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen,1,1428490257,1428490257,1,368,49.0,803.0
2951,2951,mention,Berend Mendel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,52,121.0,803.0
2952,2952,mention,Elias Meyer (Kammeragent) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover,1,1428490257,1428490257,1,108,91.0,803.0
2953,2953,mention,Hirsch Münden - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,217,121.0,803.0
2954,2954,mention,"Öttinger, Moses - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hasenpoth",1,1428490257,1428490257,1,393,92.0,803.0
2955,2955,mention,"Oppenheim, Isaac - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam",1,1428490257,1428490257,1,385,202.0,803.0
