uuid,name,slug,wikidata_id,reason,lat,lng,hint
010c49de-431f-41be-9ef6-ade8bcfc647e,Tismenitsa,tismenitsa,,missing_coords,,,
632a5430-a70c-4620-b9a1-f29e66d4f612,Trebitsch,trebitsch,,missing_coords,,,
6b49f559-e45c-447a-b46c-872d3b76506f,Troplowitz,troplowitz,,missing_coords,,,
5de7faa2-8428-4298-8d27-d5e60c4a9e8d,Turiisk,turiisk,,missing_coords,,,
e72d02c4-6ce4-47a4-90bb-bc5eefa19e57,Wamburg,wamburg,,missing_coords,,,
ddd328e2-9060-4831-bde3-7e774da2b0c9,Wasiliszki,wasiliszki,,missing_coords,,,
8f93f0bf-4186-4353-a0b0-5acfce92bc5f,אבערראבבינער,city-8f93f0bf,,missing_coords,,,
86002dcf-2bed-4f84-8a48-4ccc86cea6ba,אמשניץ,city-86002dcf,,missing_coords,,,
9251dd0e-a5c4-45ba-bdfd-27de53f16539,אפען,city-9251dd0e,,missing_coords,,,
9b2624c7-a4fe-4e4a-933b-639cf39d2773,דיהרנפורט,city-9b2624c7,,missing_coords,,,
d2e1f8ec-307f-4f91-bf5a-fbc773f5a9be,דיניויץ,city-d2e1f8ec,,missing_coords,,,
0721c4fe-b21f-49ba-8c22-2e88972ac7eb,ווערדין,city-0721c4fe,,missing_coords,,,
fb467505-f936-4ef7-b689-939005551f6a,ויעלקאשט,city-fb467505,,missing_coords,,,
0208938d-3176-475c-8b48-d8343aa4aaa4,ולאטאווי,city-0208938d,,missing_coords,,,
ae8f4639-0a49-4134-8218-71fac82176c1,זאמחוב,city-ae8f4639,,missing_coords,,,
b2bfe939-5b36-419e-82d3-7a50e931d253,טורהאוויץ,city-b2bfe939,,missing_coords,,,
bebad93d-e843-4c04-885f-59152f7d5c0b,טשערנאוויץ,city-bebad93d,,missing_coords,,,
fb7ee147-f50f-4f8f-92f3-82b1e34c7f96,יוזעפאף,city-fb7ee147,,missing_coords,,,
e6e1e6d0-e5ed-44bd-ad45-80031dafb019,לעטשוב=לאצוב,city-e6e1e6d0,,missing_coords,,,
e6e1e6d0-e5ed-44bd-ad45-80031dafb019,לעטשוב=לאצוב,city-e6e1e6d0,,suspicious_name:digit_or_symbol,,,
70c1a26a-af53-444b-92fa-d1c9a7408ea6,מיץ,city-70c1a26a,,missing_coords,,,
77a30656-67d8-481b-803a-cbb42820e918,נאווי דוואהר,city-77a30656,,missing_coords,,,
b3953102-c7d6-4b30-aff2-73315442afa2,סטאבנץ,city-b3953102,,missing_coords,,,
596f7a3f-e279-4719-81d4-d6c6a39a2135,קאסנטין הישנה,city-596f7a3f,,missing_coords,,,
5d026843-a4a0-4a9d-8d48-c519076970aa,ראנינבורג,city-5d026843,,missing_coords,,,
8375c608-fa73-49c6-84da-a9bb8fcf05a1,שערשאווי,city-8375c608,,missing_coords,,,
ddafbbdc-a731-4005-94a6-a3fcd31a59a2,שקוד האזפוט,city-ddafbbdc,,missing_coords,,,
