model,field,value,uuids
Person,pref_label,צבי הירש,c4f26ab5-ad18-4793-95c6-e1bc8f127a05;5961a737-9ef4-4340-9290-47e1e0e8bec6;54b8cdb0-6db8-410b-b189-5a679baf8e1a;89ea11af-77fe-44ca-af53-cbc554df81c5;7916da3a-903b-4bc1-98f3-ef7b9e72c7be;2b3177f7-717a-41b6-a0f8-79f101816c33;c78af583-bc45-4ff5-b948-bb08809fb0ba;31407537-6705-48c6-8da2-505feb0a855c;08cd28f3-d636-4689-94ed-681cc77a25f1;5ced172a-001b-401b-ad8e-d5ddd53a1645;6b1b28b8-2132-4e1d-936d-624fcc8d518f;76a32602-726f-4c3a-8eae-806e52a903fe;6a829a15-1f4c-4633-be3a-5ddc8f06bb12;a32bd66b-6662-4140-bcd1-12379f5eaafc;5dd57214-35cf-4f7d-a7a0-c0fb02547098;1f10a489-38d8-448f-9962-48babbc4533b;b433dc0e-7726-4942-b7d7-d5878a94b7d4
Person,pref_label,צבי הירש ליבשיץ,8bd007a0-05c6-414d-97e0-e43792af7d0d;16755649-1a11-4d4b-a668-5a0a09dfdb08
Person,pref_label,צבי הירש מייזיל,3f8f85c1-1d15-4fde-8173-b82ef8159a52;24d5e56c-75ef-4760-8cad-7eba8a082846;ad933033-797a-4e51-bb5f-0091cc8947aa
Person,pref_label,צבי הירש מירלש,01603920-7209-4891-9f08-98871c41713c;bc57ff38-c31a-4be3-8a21-13a57f1887a7
Person,pref_label,צבי הירש מלונדן,5558ac6a-cf0d-4c42-a136-b8589600d86d;853ec532-df97-4be7-b11a-cc1c849a4efe
Person,pref_label,קארל קעניגסבערג,8096fee0-817b-4090-9765-6e18627db39f;40d28b78-ab14-4cbc-9a94-53e2e1467e25
Person,pref_label,"ראובן בר""ש",b9f17f89-cf23-4521-b088-b7f493841e2f;876edab2-0aef-4cb4-87fb-3e2e1ff20499;7b250a28-b702-4230-9f93-4c8fb7821813
Person,pref_label,ראובן גומפערטץ,e1acc0b8-5e13-40c6-8015-aa93af57c59e;9bb346fc-6a62-4558-a6cb-5fdcfef7baa0
Person,pref_label,שאול,42f804b1-1682-4759-aaa4-e877903d84e2;3b231788-7f99-4fb7-a779-4eca7a7bf59c;a8d2328b-b9ef-4206-866e-bba6cfbf4ef1
Person,pref_label,"שאול (אב""ד באמסטרדם)",5f0ed2c6-023c-4619-a4b9-74bb6b88b361;7a169892-1540-482f-98f3-f91f32ae81d0;d022ddea-d5b6-4c5c-9100-0683a47f255b;0e26f6e5-c707-454b-a99e-6485b4f8be51;0e754494-34d6-4caa-afbb-6374a6b7106f
Person,pref_label,שאול כהנא,978e4895-2686-452e-86b7-9abe698658ce;ad26e821-5a22-43d1-b699-ebd54f9d176b
Person,pref_label,שבתי בן דוד מיאנוב,79047fe0-9eba-4d28-8f5f-8697a9f8c616;c665de9f-94e5-44ce-8db9-22c462ae5fd7
Person,pref_label,"שלאחטב, ברוך",c52fc832-1269-469d-b55b-20eb75d2c846;449dc07e-3004-4143-a77f-816d091ff447
Person,pref_label,שלמה,2c3862b4-0774-47a8-bea6-ed70e3688852;24b4aff6-47e2-4b80-a6dc-18a1e57abcbb;f9100958-a01b-404c-94f0-6d031d3842e1
Person,pref_label,שלמה רונקל,8bcdfab8-f489-476f-bdd1-e69b369a882f;9f44c3fa-0dad-4847-b5ae-1dc7ff7e5712
Person,pref_label,שלמה שלם,87be345f-bb0d-4875-a7ad-460e9548adfd;6e68f3e7-71d4-4006-9438-c6b6c6cfda3c;d5f30602-b141-4a3e-a9fa-098c7054249c;b93e078d-6585-4990-8f80-4ccbab3047b7;5104c0c7-84cc-46fb-a316-4273e18775b7
Person,pref_label,"שמואל בר""א",da8e01e2-34d5-4f4f-8a7d-c51667562bb7;5bbe2c31-d972-4383-9dba-22e532a4ad35
Person,pref_label,שמואל ברסלא,24397fe5-1293-4d3d-9e89-71af012b08c0;39176f09-d631-4e19-9d27-a7f67a16d184
Person,pref_label,שמואל זנוויל,6492b753-b5fe-4018-966c-daabace3023b;623b352c-f032-4264-a442-943a26e383d8
Person,pref_label,שמואל שמעלקא ליב,f7638210-c068-4c1e-9a32-5c360fb35faa;0b4cbce7-e6af-4761-93f6-592236045d51
Person,pref_label,שמעון פיורדא,9f887c3f-84a8-44ec-aeef-88976327c2a1;4de6abf2-5a9c-407d-b91c-dc13b3e30dc5
Person,pref_label,שמעון פייט,fc9deb2f-869b-4e52-a02e-72ab8704cd4e;36acccca-69b9-496f-8528-74f1dc08774a
