orphan_uuid,orphan_name,model,entity_pk,entity_slug,field,snippet
86ce0679-c4d0-4335-9cd0-a6b4432c7ab5,Strelitz,Book,e4a19c77-db46-4568-9832-ce4fb627c067,rosenlied-der-korahiten,title_in_latin_characters,glichen Prinzen mit den Prinzessinnen v. Meklenb. Strelitz. Gesungen in der Synagoge zu Berlin December 1793
1be6e1e5-eaee-40ba-ac80-4b61c813bd82,Greifswald,Book,5093531e-dda3-485e-81ed-2faee0ca1378,sendschreiben-an-seine-hochwurden-herrn-oberconsistorialrath-und-probst-teller,references_notes,AK: Universitätsbibliothek Greifswald: 524/Nstr. 1625
55210f57-b229-47e0-8833-638a0b445e5e,Lieben,Book,c7ba821f-4e10-4cfe-85c5-94b7488ee3e8,trauerrede-uber-das-ableben-des-weisesten-monarchen-friedrich-des-zweiten,target_audience_notes,"ישנה מדי פעם פניה ל""אחי וריעי"" (ובתרגום לגרמנית: Lieben Brüder משתי הפסקאות שחותמות את הספר (הפונות ישירו"
1be6e1e5-eaee-40ba-ac80-4b61c813bd82,Greifswald,Book,b1a40bcd-4ef0-4032-8008-4c39814d7b52,uber-die-verbesserung-des-judeneids,copy_of_book_used,UB Greifswald: 520/G 428
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,974ed058-1728-4c0c-ada6-47f9f6c07728,zaphnath-paneach-oder-sammlung-moralischer-lehren-spruche-erzahlungen-und-gedichte-aus-dem-talmud-und-andern-heiligen-schriften,studies,"Immanuel: Über den Zustand der Jacobsonsschule in Seesen während der letzten drei Jahre, in:AZJ, Jg. 1847,"
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,974ed058-1728-4c0c-ada6-47f9f6c07728,zaphnath-paneach-oder-sammlung-moralischer-lehren-spruche-erzahlungen-und-gedichte-aus-dem-talmud-und-andern-heiligen-schriften,full_title,r von dem Herrn Cammeragenten Israel Jacobsohn zu Seesen errichteten Erziehungsanstalt für arme Kinder sei
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Book,4e233160-56ac-4797-b002-a78851ae1d3b,book-4e233160,subscribers_notes,"): ""Das bedeutet, daß Baruch Jeitteles und Israel Landau, die Wortführer der Prager Aufklärung in den neun"
ba60af97-e8b5-4f2b-8e44-cc85a3ec2dc3,Bleicherode,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,mention_general_notes,"gsberg) שמואל פאצדאם (פו""מ, Prague) שמואל ק""וו (Bleicherode) שמחה ב""ר (Breslau) שמחה ב""ר וואלף (פו""מ, Bresl"
80db840e-2293-421b-9f9f-1d63ac6bb9b5,Bielefeld,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,mention_general_notes,"רם, רבקה (Frankfurt am Main) שייאר, אנשל (פו""מ, Bielefeld) שיף, יאקב (Vienna) שלמה הילדסהיים (Breslau) של"
35460b7c-0ede-4ed5-96df-cd6529e2e1f2,Anklam,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"sberg) מרדכי צעמפלבורג (Potsdam) מרדכי ראטנויא (Anklam) משה (Dresden) משה ב""ר מאיר (Halle) משה בעוורינ"
ba60af97-e8b5-4f2b-8e44-cc85a3ec2dc3,Bleicherode,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"Königsberg) איגר, חיים (Königsberg) איגר, קאפל (Bleicherode) איזק איממנראדי (Bleicherode) איזק בלייכראדי (B"
1be6e1e5-eaee-40ba-ac80-4b61c813bd82,Greifswald,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"לוי, ירמי (Berlin) לוי, משה (Prag) לוי, שמואל (Greifswald) ליב (הרופא, Vienna) ליב (Berlin) ליב ב""ר פתחיה"
75477a8b-732d-48a5-9b28-ebc4e70e470b,Köslin,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"lsund) פויזנר, אבריל (Stralsund) פויזנר, שמואל (Köslin) פייבל ב""ר משולם (Königsberg) פייבש וויצנהויזן"
86ce0679-c4d0-4335-9cd0-a6b4432c7ab5,Strelitz,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"""ל (Berlin) כהן, ליב (Berlin) כהן, מייכה בר""ל (Strelitz) כהן, נתן (פו""מ, Frankfurt /Oder) כץ, ליב (Amst"
b7e4d18b-7cbc-4d60-8e58-1cbe659fdaa1,Hamm,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"m Main) האז, ליב (Frankfurt am Main) האז, לימא (Hamm) האס (פו""מ המדינה), אנשיל (Königsberg) היילבוט,"
e7a81662-9a49-436b-9221-0b8538bd6e6e,Stralsund,Book,f35fffd1-2cde-46d7-9c5f-cc4730c51fae,book-f35fffd1,subscribers_notes,"(Vienna) געץ פראנקפורט (Königsberg) גראף, יאקב (Stralsund) גרשון ל""ב (Königsberg) דבורה פרידברג (Königsbe"
310df71a-b23b-416c-875a-2ede37ffeb4d,Hirschberg,Book,ff5dc661-1a95-4188-8f16-286f18bdd544,oder-das-judenthum-2,sources_references,"ehungs-Methode bey der jüdischen Jugend, Breslau, Hirschberg a. Lissa (Korn) 1800."
3b3c554f-2cbf-4280-a7f6-38648faf154e,Münden,Book,a868cadd-da32-421c-8860-4a1682e41375,book-a868cadd,subscribers_notes,"Berlin) Fürst, פירשט (Dr., Berlin) Fürstenthal (Münden) Gebert, N.J. (Berlin) Geisenheimer (Vorsteher"
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,a868cadd-da32-421c-8860-4a1682e41375,book-a868cadd,subscribers_notes,"am Main) Meyer, J.L. (Berlin) Mitgau (Prediger, Seesen) Moses, A. (Berlin) Moses, A.J. (Berlin) Moses"
5f383918-1ef1-4a2d-829d-ba5072dd70d9,Neuwied,Book,a868cadd-da32-421c-8860-4a1682e41375,book-a868cadd,subscribers_notes,"tairinn, Berlin) Burg, J. (Berlin) Büschenthal (Neuwied) Bütow, J.L. (Berlin) Cahn, W. (Frankfurt am Ma"
a9544bb3-d0c1-44c5-b6f4-8bd9fd9ae72c,Sandersleben,Book,a868cadd-da32-421c-8860-4a1682e41375,book-a868cadd,subscribers_notes,"(Braunschweig) Samson, M.H. jun. (Braunschweig) Sandersleben, J. Jacob (Münden) Sandersleben, M. (Kassel) Sc"
9b248b36-c0d9-493e-a590-00a1cade9baa,Florenz,Book,756331fc-9f56-49f7-b539-2f776449592b,book-756331fc,full_title,"en vom Freytage den 8ten April 1797, Nr. 57, Art. Florenz den 20sten März.)"
9b248b36-c0d9-493e-a590-00a1cade9baa,Florenz,Book,756331fc-9f56-49f7-b539-2f776449592b,book-756331fc,title_in_latin_characters,"en vom Freytage den 8ten April 1797, Nr. 57, Art. Florenz den 20sten März.)"
d1474318-6cff-438b-99db-f1dbfb93f8e3,Hungary,Book,08bacf86-347c-46fe-baec-9a89852e23f4,book-08bacf86,secondary_sources,"an Jewry and Its Impact on Haskalah and Reform in Hungary”. In: Toward Modernity. New Brunswich, NJ: Transa"
e8862065-19f4-47fd-8762-e1c6082e6b80,Arad,Book,010c3164-4956-48b8-96fb-a8280df1b2fc,book-010c3164,full_title,"אש אמנה ... נשמה חיה ... דירת אהרן [Synagogus in Arad R. Aaran Charin in hoc opusculo, cui titulum ex G"
e8862065-19f4-47fd-8762-e1c6082e6b80,Arad,Book,010c3164-4956-48b8-96fb-a8280df1b2fc,book-010c3164,title_in_latin_characters,".. Neshamah ḥayah ... Dirat Aharon [Synagogus in Arad R. Aaran Charin in hoc opusculo, cui titulum ex G"
66f24f98-3a5c-437d-8922-80bafdf0a20a,Leslau,Book,d10b538a-0908-45d3-9e37-55f8b0b502b2,book-d10b538a,subscribers_notes,"שמות נוספים בעמוד אחרי. List of Subscribers: (Leslau) אברהם בהר""ר צבי הירש (Berlin) אברהם בר""נ ה""ש ("
