uuid,name,slug,wikidata_id,parent_place,merged_into
6acfff59-5693-48e5-b442-0adb13801c11,Jewpatorija,jewpatorija,,,
724e4317-9ece-4552-acfc-2aeda405a9cd,Józefów,jozefow,,,
723cc713-cc18-4355-80a5-7e0120d31d18,Kanischa,kanischa,,,
37baeded-1dbe-4403-a88d-0cbc70fe933b,Karlsruhe,karlsruhe,,,
69669fee-ecb7-499e-a0c5-544c688a9e15,Kassel,kassel,,,
b72c7ab3-3973-4203-aee8-baaf506010b3,Kempen,kempen,,,
adefc308-f9ea-4306-af0b-f3517e196c99,Kolin,kolin,,,
c7aa1af5-678c-4bf5-9148-c7ae6b002c47,Kolmar,kolmar,,,
a2d89371-262f-4939-8356-dcdedf944bdc,Komarno,komarno,,,
4904192d-1d51-44d8-9c4c-7d6e0003fa60,Königsberg,konigsberg,,,
5970b1a5-84a7-4104-9382-fe39b80c921e,Kopys,kopys,,,
75477a8b-732d-48a5-9b28-ebc4e70e470b,Köslin,koslin,,,
613eb469-56d6-47a2-9fe0-b542758850ce,Krakow,krakow,,,
fe870ffa-4548-43dc-a37c-ab7531e89c99,Kreisch,kreisch,,,
823c994c-b2b7-4c8a-8d1e-5e0d7965743b,Krossen an der Oder,krossen-an-der-oder,,,
2efd21f7-a055-4632-93c5-9cb2a0722367,Kurland,kurland,,,
94557386-a996-4730-9c6a-3941481d3247,Kuttenplan,kuttenplan,,,
e018e49c-7e20-4df5-882f-a5e909481802,Landau,landau,,,
21ddd11e-c63c-4249-85ae-b426efa41459,Landsberg/Warthe,landsbergwarthe,,,
8e82a859-b068-4273-b5e1-a4ed7ddbbf67,Leiden,leiden,,,
5e813a59-2d7d-4783-b4a2-4e2ae895e199,Leipnik,leipnik,,,
96866796-3fe0-4fcb-9abe-31f883c94c57,Leipzig,leipzig,,,
155b0b5a-6a8b-424b-885a-ac2245ef21cb,Lemberg,lemberg,,,
66f24f98-3a5c-437d-8922-80bafdf0a20a,Leslau,leslau,,,
c1e84b20-a603-411a-bfcd-ef1b82ea250d,Lissa,lissa,,,
e4d02791-0613-4ff2-afe8-c9bb5ea2ce89,Livorno,livorno,,,
66ab7d83-9733-4531-a0d3-2b7c5c9ec5b7,London,london,,,
1a8c891a-f318-4aa6-8481-683d2a3c3703,Luneville,luneville,,,
4cfd2409-0321-4ce1-bde5-0eb8ca48e9fd,Lviv,lviv,,,
87cb0c23-53c9-47a4-a097-0229c8e0d4fd,Magdeburg,magdeburg,,,
e9fcfda5-6104-4a7c-ac03-55110781a9b8,Mainz,mainz,,,
b5731210-5ebc-4da1-b5b6-01aa8dc86090,Mannheim,mannheim,,,
373fb090-322d-44fe-8fac-54ffc09c4d3f,Marienwerder,marienwerder,,,
903b4c99-8ce4-49c7-b6f3-58a8db94729c,Mattersdorf,mattersdorf,,,
fea8b84c-cad6-4041-b93e-89c054a58826,Mesritsch,mesritsch,,,
66cd0b40-d226-4642-96ac-385d8226fa7d,Metz,metz,,,
0d019cc7-72fa-4e77-b9d9-9e401780db3b,Minkowce,minkowce,,,
99a8d4cc-11d5-4a23-955a-fd8e2bbf0372,Mohilev,mohilev,,,
3b3c554f-2cbf-4280-a7f6-38648faf154e,Münden,munden,,,
db2c57f8-00a3-4adc-ab93-91221d3e923c,Munich,munich,,,
cc52cf50-4e00-46b5-9e7d-a550c04fcda7,Nancy,nancy,,,
27dd9a7b-da8e-4cdf-bb58-6b879219ba20,Netivot,netivot,,,
b22f4cad-b3ae-4913-a6b2-b1eba9340dd6,Neuhaus,neuhaus,,,
7c10f0aa-fa9a-467a-85e1-7c4069a1d2ff,Neustrelitz,neustrelitz,,,
5f383918-1ef1-4a2d-829d-ba5072dd70d9,Neuwied,neuwied,,,
0280fe90-45af-4247-a0a8-b7440f0db132,Neuzedlisch,neuzedlisch,,,
afa590a4-f85c-4979-b90c-15e7d407be53,New York,new-york,,,
80508a1f-1548-492d-b99a-b5da73cd1d15,Nikolsburg,nikolsburg,,,
a3332362-420c-46fd-8bf2-cfbff57fb5e5,Nimwegen,nimwegen,,,
3d2309e7-1c5e-4715-8b7c-c6abb4a6880d,Nowy Dwor Mazowiecki,nowy-dwor-mazowiecki,,,
30aa3b00-e796-428c-ab17-8573b230f398,Nuremberg,nuremberg,,,
9329af8c-6d1d-4937-aeec-0edfaff03f93,Ofen,ofen,,,
e62fa0a0-b9df-4d62-b83b-b593ec428899,Offenbach,offenbach,,,
b0b854c6-988e-4073-9332-107d84914c9a,Paris,paris,,,
4f0c267d-b7b3-4dce-8963-eb3566d42224,Pest,pest,,,
c751a6bb-4809-47d3-b0a5-271d8acf597e,Pfalz,pfalz,,,
a76730cd-4ba5-4d45-9637-1c0ea67bdbd0,Pinczow,pinczow,,,
72bc0dfb-d207-4b92-abef-6c361e8ff858,Pirnitz,pirnitz,,,
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,polen,,,
a3f7b989-5965-4d52-8498-29632061b3e9,Porizk,porizk,,,
fc68ece9-1993-4389-848c-c9f979885540,Posen,posen,,,
b46c2856-7928-4781-b5f7-a5876d932599,Potsdam,potsdam,,,
6d8abc02-c423-4972-8802-f9a4af90d733,Prag,prag,,,
b4ee50ad-ffb9-4fbb-b46f-caf5c393b0d9,Prague,prague,,,
4fd103f7-fd70-42e5-b4a1-edacf45d2db0,Prenzlau,prenzlau,,,
f5f16f82-69c9-4779-9692-758ca6648d86,Pressburg/Bratislava,pressburgbratislava,,,
61e76c85-7dff-4d47-b4bb-1fa227dd024a,Ragendorf,ragendorf,,,
1f3d9782-f44e-4069-9d9f-2b5631612963,Rakonitz,rakonitz,,,
1fe8d7d7-ac09-440c-b368-178d0c1fba73,Ratibor,ratibor,,,
fd8688b4-7114-4763-8a68-20a3b44a50d0,Rawa,rawa,,,
fe8d67f6-4bf3-4178-bc47-1b171abeaadc,Regensburg,regensburg,,,
39ef8a62-7e1e-4ef5-ab7f-067285145d30,Reggio,reggio,,,
6aa2af49-ac7e-4771-a424-aefb6d607642,Reichenberg,reichenberg,,,
5f660e6d-0464-43e5-979d-cb3f7e816b32,Reschow,reschow,,,
53bd9be5-d167-403f-8831-27c9d41728f6,Riga,riga,,,
f613aa02-2252-4d03-bc2e-4c8b19f08b72,Rödelheim,rodelheim,,,
cb9c7bf3-8df3-4906-982c-a8fc911f7555,Rotterdam,rotterdam,,,
04e7fced-4751-436c-b2f2-52a3353af7a1,Samocz,samocz,,,
a9544bb3-d0c1-44c5-b6f4-8bd9fd9ae72c,Sandersleben,sandersleben,,,
e344ade2-6571-428b-9871-1597f322b9c2,Satanow,satanow,,,
3f1a6bc0-b8fa-417e-ad1f-17e44fb4f274,Schklov,schklov,,,
8b726297-9cb5-40ec-9341-dab3d264e1c3,Schottland,schottland,,,
32c112b5-19fc-4c75-9c7e-241139707e9a,Schwedt,schwedt,,,
1c280214-8344-4a86-8098-ae77d821f0f6,Schwerin,schwerin,,,
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,seesen,,,
e4410f34-609b-4ffd-85f8-2018e01dbe98,Senftenberg,senftenberg,,,
783157d9-ae04-4274-8bc6-429a8eb338eb,Shkloŭ,shklou,,,
1cad62ed-34c2-42b2-a6a3-a8080a4916ce,Slawkowiec,slawkowiec,,,
521b4d74-66d3-48c2-a8a1-49b3e7cdc02f,Slonim,slonim,,,
bb380ae7-530e-4370-8655-1ff47f21f623,SmokeC,smokec,,,
ff014364-187a-4b28-938f-5aa8a2cf56ee,Stampfen,stampfen,,,
ee8569c4-a3a4-4841-8ea2-fe04bda84c71,Stargard,stargard,,,
55a79f0f-d2ea-4a9d-9469-01e357a9941f,Stettin,stettin,,,
e7a81662-9a49-436b-9221-0b8538bd6e6e,Stralsund,stralsund,,,
8b43871d-bb9e-40d2-8321-011c48238962,Strasbourg,strasbourg,,,
86ce0679-c4d0-4335-9cd0-a6b4432c7ab5,Strelitz,strelitz,,,
f666facf-8f3f-4ad5-8f5b-a2d9d42df112,Stuttgart,stuttgart,,,
56f59686-69f7-42f0-bf97-56d87ee9f645,Sudilkov,sudilkov,,,
f4248f32-f421-458e-8324-8f933fdc04dd,Sulzbach,sulzbach,,,
084c4002-a1b0-4d43-9f75-83a31f9272ba,Tachau,tachau,,,
ecd11092-4c1e-4461-bcc2-e5a7de027e1a,Tel Aviv,tel-aviv,,,
a2d4e128-acde-4488-aa54-e91377e5da5c,TestCity,testcity,,,
2439f4f5-c5e9-47f2-84ea-f0c8825d8824,The Hague,the-hague,,,
010c49de-431f-41be-9ef6-ade8bcfc647e,Tismenitsa,tismenitsa,,,
632a5430-a70c-4620-b9a1-f29e66d4f612,Trebitsch,trebitsch,,,
c22f4bec-f116-40a4-a1bc-acc8f33008d8,Triesch,triesch,,,
4868bf88-9cc0-438b-a6af-c26d8cf96e57,Triest,triest,,,
6b49f559-e45c-447a-b46c-872d3b76506f,Troplowitz,troplowitz,,,
65f148e1-13d0-4242-9c64-7f049895c013,Tübingen,tubingen,,,
5de7faa2-8428-4298-8d27-d5e60c4a9e8d,Turiisk,turiisk,,,
329c0eb3-248f-492c-a3af-cecfd580ec91,Turin,turin,,,
bcdb0699-07fd-4eae-a6ef-a2af1175a487,Turnau,turnau,,,
17deefe0-10ad-4cea-b2f3-5908c229c420,Venice,venice,,,
34671fa9-2ff7-495c-baf0-dcca8dd19857,Vienna,vienna,,,
26efef1f-011c-44c7-bd7c-0f65ab1785ba,Vilnius,vilnius,,,
e72d02c4-6ce4-47a4-90bb-bc5eefa19e57,Wamburg,wamburg,,,
