uuid,name,slug,live
b7e4d18b-7cbc-4d60-8e58-1cbe659fdaa1,Hamm,hamm,True
c16e85db-270e-4337-9709-ecdd373e0788,Pardubitz,pardubitz,True
c1a48115-7d53-4fe7-9ef6-64d7ee2e00c7,Casale Monferrato,casale-monferrato,True
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,dubno,True
c652fb1f-6d2d-4190-93d2-1acfd55bcd2b,St. Petersburg,st-petersburg,True
c8265a23-64aa-4134-9d7a-06c585119079,Halle/Saale,hallesaale,True
cc710e95-d790-431c-8769-0d7d727c49d5,Polna,polna,True
ccf7d071-46d2-446f-958c-f47c07c0540b,Stockholm,stockholm,True
cd14c697-dc1c-4d65-a7d3-6e1333759ce1,Chelm,chelm,True
d1474318-6cff-438b-99db-f1dbfb93f8e3,Hungary,hungary,True
d261bca8-79c8-4894-901a-4eb678cb5924,Elberfeld,elberfeld,True
d37889e4-2c88-4e7a-8246-08d6ea0a2ee8,Oleksinets Novy,oleksinets-novy,True
d4065fad-cf90-4e14-b35d-b901389025c7,Korets,korets,True
d493c851-ac69-449a-b45c-ca7f655d70c8,Tysmienica,tysmienica,True
d7c6c824-14ed-4f3e-b678-29996c2a1785,Naarden,naarden,True
d83598b4-7671-4957-98e7-3490c8f31545,Opatow,opatow,True
db5d72d1-4a16-4ed8-80f8-5a18b69fac00,Laszczow,laszczow,True
dc03cf91-999b-459b-a6cf-61f68b57f190,Duisburg,duisburg,True
dd6238bf-2f4d-424b-ba31-f8ca74a9e31f,Tschoplowitz b. Brieg,tschoplowitz-b-brieg,True
df4bde06-1faa-4124-ae89-c2b6334c90ae,Liegnitz,liegnitz,True
e018e49c-7e20-4df5-882f-a5e909481802,Landau,landau,True
e03bb724-3cfc-415a-83c3-fd32a074699c,Mikolajev,mikolajev,True
e4735865-604b-4862-95d1-6f07c8598ef7,Bubwitz,bubwitz,True
e74005fb-e0a1-4b8d-909c-19d62454fb62,Wohlin,wohlin,True
e7a81662-9a49-436b-9221-0b8538bd6e6e,Stralsund,stralsund,True
eb1dd6a3-e462-4bf7-af74-4ade7399d8ca,Tarnopol,tarnopol,True
ee5a9a9a-2547-48b0-944a-d4924322285d,Mitau,mitau,True
ef32f028-404c-4483-85e5-25910923ecc1,Chlumetz,chlumetz,True
ef4b17c8-5659-448b-8d55-6423df3d003c,Niederehnheim,niederehnheim,True
f3719bb7-23b4-49c8-afe4-a503d5373f11,Padua,padua,True
f50d1906-6011-4543-bfe1-d2936e7dbfc1,Przedbórz,przedborz,True
f9f9279b-5314-4aad-b292-e5b24617d354,Tschaslau,tschaslau,True
